Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
55.8,842151708,75865,11100.7,4234.0,379,1097260,25873.0,cudaStreamSynchronize
40.8,616293777,76062,8102.5,2767.0,1918,391454675,1419369.3,cudaLaunchKernel
1.7,26210332,1,26210332.0,26210332.0,26210332,26210332,0.0,cudaProfilerStop
0.3,5282394,1,5282394.0,5282394.0,5282394,5282394,0.0,cudaMalloc
0.3,4296081,918,4679.8,3816.5,559,127934,6178.7,cudaLaunchHostFunc
0.2,3164318,1,3164318.0,3164318.0,3164318,3164318,0.0,cudaHostAlloc
0.2,2842725,1,2842725.0,2842725.0,2842725,2842725,0.0,cudaFreeHost
0.2,2692262,1,2692262.0,2692262.0,2692262,2692262,0.0,cudaDeviceSynchronize
0.2,2442218,7,348888.3,2879.0,160,2213680,824409.5,cudaFree
0.2,2312581,640,3613.4,3067.0,1915,50677,3047.3,cudaMemcpyAsync
0.1,1762712,1,1762712.0,1762712.0,1762712,1762712,0.0,cudaGetDeviceProperties
0.0,91047,412,221.0,119.5,70,2190,206.8,cuGetProcAddress_v2
0.0,88130,3,29376.7,24390.0,15030,48710,17384.9,cudaMemGetInfo
0.0,49110,1,49110.0,49110.0,49110,49110,0.0,cudaMallocManaged
0.0,47737,4,11934.3,3184.0,2800,38569,17757.6,cudaStreamDestroy
0.0,35129,4,8782.3,1946.0,1515,29722,13961.6,cudaStreamCreate
0.0,12155,1,12155.0,12155.0,12155,12155,0.0,cudaProfilerStart
0.0,5070,2,2535.0,2535.0,118,4952,3418.2,cuModuleGetLoadingMode
0.0,3282,1,3282.0,3282.0,3282,3282,0.0,cuInit
