Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
71.0,416100172,11808,35238.8,26784.0,22463,174268,20338.0,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Operator::Elastic<(int)1>::Fapply(int, int, amrex::MultiFab &, const amrex::MultiFab &) const::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
9.7,56920093,10496,5423.0,5248.0,3423,17311,1113.8,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, Operator::Operator<(Grid)1>::Fsmooth(int, int, amrex::MultiFab &, const amrex::MultiFab &) const::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
6.1,35975428,21514,1672.2,1504.0,1407,15648,401.9,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::Copy<amrex::FArrayBox, amrex::FArrayBox, (int)0>(amrex::FabArray<T1> &, const amrex::FabArray<T2> &, int, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
3.5,20244715,10496,1928.8,1664.0,1536,10208,588.8,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::Multiply<amrex::FArrayBox, void>(amrex::FabArray<T1> &, const amrex::FabArray<T1> &, int, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
3.1,18342262,10496,1747.5,1600.0,1535,12896,298.5,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::Subtract<amrex::FArrayBox, void>(amrex::FabArray<T1> &, const amrex::FabArray<T1> &, int, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.8,4789663,1,4789663.0,4789663.0,4789663,4789663,0.0,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, <unnamed>::ResizeRandomSeed(unsigned long)::[lambda(int) (instance 1)], void>(const amrex::Gpu::KernelInfo &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.5,3070465,1312,2340.3,2240.0,1536,4512,637.7,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::FabArray<amrex::FArrayBox>::Xpay<amrex::FArrayBox, (int)0>(amrex::FabArray<amrex::FArrayBox>&, double, const amrex::FabArray<amrex::FArrayBox>&, int, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.5,2729835,2203,1239.1,1120.0,992,2400,218.5,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::FabArray<amrex::FArrayBox>::setVal<amrex::FArrayBox, (int)0>(double, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.4,2482897,12,206908.1,142637.5,109534,498870,128231.3,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Solver::Nonlocal::Newton<Model::Solid::Finite::NeoHookeanPredeformed>::prepareForSolve(const Set::Field<Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>> &, const Set::Field<Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>> &, Set::Field<double> &, Set::Field<Eigen::Matrix<double, (int)2, (int)2, (int)0, (int)2, (int)2>> &, Set::Field<Set::Matrix4<(int)2, (int)1>> &, Set::Field<Model::Solid::Finite::NeoHookeanPredeformed> &)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.4,2386520,902,2645.8,2368.0,1824,4896,707.8,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::Add<amrex::FArrayBox, void>(amrex::FabArray<T1> &, const amrex::FabArray<T1> &, int, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.4,2161236,12,180103.0,125725.5,93278,456087,114996.3,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Solver::Nonlocal::Newton<Model::Solid::Finite::NeoHookeanPredeformed>::prepareForSolve(const Set::Field<Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>> &, const Set::Field<Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>> &, Set::Field<double> &, Set::Field<Eigen::Matrix<double, (int)2, (int)2, (int)0, (int)2, (int)2>> &, Set::Field<Set::Matrix4<(int)2, (int)1>> &, Set::Field<Model::Solid::Finite::NeoHookeanPredeformed> &)::[lambda(int, int, int) (instance 2)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.3,1838162,164,11208.3,11631.5,6784,21024,4038.6,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, Operator::Operator<(Grid)1>::interpolationAmr(int, amrex::MultiFab &, const amrex::MultiFab &, const amrex::IntVectND<(int)2> &) const::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.3,1580122,946,1670.3,1600.0,1216,2528,243.1,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::FabArray<amrex::FArrayBox>::ParallelCopy_nowait(const amrex::FabArray<amrex::FArrayBox>&, int, int, int, const amrex::IntVectND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::Periodicity &, amrex::FabArrayBase::CpOp, const amrex::FabArrayBase::CPC *, bool, bool)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.3,1525378,336,4539.8,4960.0,2112,7392,1524.5,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::CellConservativeLinear::interp(const amrex::FArrayBox &, int, amrex::FArrayBox &, int, int, const amrex::BoxND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::Geometry &, const amrex::Geometry &, const amrex::Vector<amrex::BCRec, std::allocator<amrex::BCRec>> &, int, int, amrex::RunOn)::[lambda(int, int, int, int) (instance 9)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.2,1314433,492,2671.6,2592.0,2399,3712,283.1,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Operator::Operator<(Grid)1>::restriction(int, int, amrex::MultiFab &, amrex::MultiFab &) const::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.2,1261574,504,2503.1,2368.0,1408,3424,288.9,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Operator::Operator<(Grid)1>::reflux(int, amrex::MultiFab &, const amrex::MultiFab &, const amrex::MultiFab &, amrex::MultiFab &, amrex::MultiFab &, const amrex::MultiFab &) const::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.2,1201924,336,3577.2,3328.0,2367,5055,577.1,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::CellConservativeLinear::interp(const amrex::FArrayBox &, int, amrex::FArrayBox &, int, int, const amrex::BoxND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::Geometry &, const amrex::Geometry &, const amrex::Vector<amrex::BCRec, std::allocator<amrex::BCRec>> &, int, int, amrex::RunOn)::[lambda(int, int, int, int) (instance 11)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.2,1042662,492,2119.2,2048.0,1888,2752,227.4,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Operator::Operator<(Grid)1>::interpolation(int, int, amrex::MultiFab &, const amrex::MultiFab &) const::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.2,902094,14,64435.3,76830.5,26912,99870,30019.4,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Integrator::Flame::Advance(int, double, double)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.1,680399,557,1221.5,1248.0,960,2080,219.4,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, BC::Constant::FillBoundary(amrex::BaseFab<double> &, const amrex::BoxND<(int)2> &, int, int, int, double, BC::Orientation, const amrex::Mask *)::[lambda(int, int, int) (instance 2)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.1,663222,557,1190.7,1216.0,928,2208,201.4,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, BC::Constant::FillBoundary(amrex::BaseFab<double> &, const amrex::BoxND<(int)2> &, int, int, int, double, BC::Orientation, const amrex::Mask *)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.1,596114,328,1817.4,1856.0,1535,2432,220.9,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::average_down<amrex::FArrayBox>(const amrex::FabArray<T1> &, amrex::FabArray<T1> &, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 3)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.1,587733,194,3029.6,3040.0,2560,4192,331.0,"void amrex::launch_global<(int)256, T1::Type amrex::ReduceOps<amrex::ReduceOpMax>::value<amrex::ReduceData<double>>(T1&)::[lambda() (instance 1)]>(T2)"
0.1,557910,92,6064.2,6272.0,4896,7808,509.3,"void amrex::launch_global<(int)256, void amrex::ReduceOps<amrex::ReduceOpMax>::eval_box<amrex::Reduce::detail::iterate_box, (int)2, amrex::ReduceData<double>, std::enable_if<amrex::IsFabArray<T1, void>::value, void>::type amrex::ReduceOps<amrex::ReduceOpMax>::eval<amrex::FabArray<amrex::FArrayBox>, amrex::ReduceData<double>, T2::value_type amrex::FabArray<amrex::FArrayBox>::norminf<amrex::IArrayBox, amrex::FArrayBox, (int)0>(const amrex::FabArray<T1> &, int, int, const amrex::IntVectND<(int)2> &, bool) const::[lambda(int, int, int, int) (instance 1)]>(const T1 &, const amrex::IntVectND<(int)2> &, T2&, T3 &&)::[lambda(int, int, int) (instance 1)]>(T1, const amrex::BoxND<T2> &, int, T3 &, const T4 &)::[lambda() (instance 1)]>(T2)"
0.1,547189,14,39084.9,43647.0,14879,75775,18373.8,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Integrator::Flame::Advance(int, double, double)::[lambda(int, int, int) (instance 2)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.1,499285,102,4895.0,4864.0,3167,7264,795.2,"void amrex::launch_global<(int)256, void amrex::ReduceOps<amrex::ReduceOpMax>::eval_box<amrex::Reduce::detail::iterate_box_comp, (int)2, amrex::ReduceData<double>, std::enable_if<amrex::IsFabArray<T1, void>::value, void>::type amrex::ReduceOps<amrex::ReduceOpMax>::eval<amrex::FabArray<amrex::FArrayBox>, amrex::ReduceData<double>, T1::value_type amrex::FabArray<amrex::FArrayBox>::norminf<amrex::FArrayBox, (int)0>(int, int, const amrex::IntVectND<(int)2> &, bool, bool) const::[lambda(int, int, int, int, int) (instance 1)]>(const T1&, const amrex::IntVectND<(int)2> &, int, T2 &, T3 &&)::[lambda(int, int, int, int) (instance 1)]>(T1, const amrex::BoxND<T2> &, int, T3 &, const T4 &)::[lambda() (instance 1)]>(T2)"
0.1,462970,246,1882.0,1792.0,1568,2912,293.7,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::BaseFab<double>& amrex::BaseFab<double>::plus<(amrex::RunOn)0>(const amrex::BaseFab<double>&, const amrex::BoxND<(int)2> &, const amrex::BoxND<(int)2> &, int, int, int)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.1,445079,164,2713.9,2719.0,2464,3520,303.6,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::MLNodeLinOp::interpAssign(int, int, amrex::MultiFab &, amrex::MultiFab &) const::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.1,430104,192,2240.1,2240.0,1792,12896,830.9,"void amrex::launch_global<(int)256, void amrex::detail::ParallelFor_doit<amrex::Array4CopyTag<double, double>, void amrex::detail::fab_to_fab<double, double, amrex::detail::CellStore<double, double>>(const amrex::Vector<amrex::Array4CopyTag<T1, T2>, std::allocator<amrex::Array4CopyTag<T1, T2>>> &, int, int, int, T3 &&)::[lambda(int, int, int, int, int, const amrex::Array4CopyTag<double, double> &) (instance 1)]>(const amrex::TagVector<T1> &, const T2 &)::[lambda() (instance 1)]>(T2)"
