Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
68.5,971401506,58405,16632.2,3805.0,374,1231765,39202.9,cudaStreamSynchronize
28.2,399297755,58622,6811.4,2285.0,1876,257099379,1061863.0,cudaLaunchKernel
2.1,29715210,1,29715210.0,29715210.0,29715210,29715210,0.0,cudaProfilerStop
0.3,3813609,1,3813609.0,3813609.0,3813609,3813609,0.0,cudaDeviceSynchronize
0.2,2824253,1,2824253.0,2824253.0,2824253,2824253,0.0,cudaFreeHost
0.2,2523511,930,2713.5,2526.0,588,75770,2896.0,cudaLaunchHostFunc
0.2,2240894,1,2240894.0,2240894.0,2240894,2240894,0.0,cudaHostAlloc
0.1,2038400,640,3185.0,2613.0,1862,30090,2325.8,cudaMemcpyAsync
0.1,1943640,7,277662.9,2359.0,157,1774090,661197.2,cudaFree
0.1,1107335,1,1107335.0,1107335.0,1107335,1107335,0.0,cudaGetDeviceProperties
0.0,215852,1,215852.0,215852.0,215852,215852,0.0,cudaMalloc
0.0,129374,4,32343.5,22959.0,5966,77490,33430.7,cudaStreamDestroy
0.0,71888,3,23962.7,16934.0,5358,49596,22941.3,cudaMemGetInfo
0.0,68762,412,166.9,112.0,70,1633,133.6,cuGetProcAddress_v2
0.0,26945,1,26945.0,26945.0,26945,26945,0.0,cudaMallocManaged
0.0,26761,4,6690.3,3082.0,1193,19404,8585.0,cudaStreamCreate
0.0,8411,1,8411.0,8411.0,8411,8411,0.0,cudaProfilerStart
0.0,3666,2,1833.0,1833.0,135,3531,2401.3,cuModuleGetLoadingMode
0.0,2088,1,2088.0,2088.0,2088,2088,0.0,cuInit
