Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
70.1,306949066,8904,34473.2,26815.0,22463,173692,20273.0,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Operator::Elastic<(int)1>::Fapply(int, int, amrex::MultiFab &, const amrex::MultiFab &) const::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
9.2,40129259,7568,5302.5,5248.0,3423,10944,885.1,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, Operator::Operator<(Grid)1>::Fsmooth(int, int, amrex::MultiFab &, const amrex::MultiFab &) const::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
5.8,25249382,15682,1610.1,1472.0,1407,3776,345.2,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::Copy<amrex::FArrayBox, amrex::FArrayBox, (int)0>(amrex::FabArray<T1> &, const amrex::FabArray<T2> &, int, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
3.2,13938906,7568,1841.8,1600.0,1536,3936,504.3,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::Multiply<amrex::FArrayBox, void>(amrex::FabArray<T1> &, const amrex::FabArray<T1> &, int, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
2.9,12709148,7568,1679.3,1600.0,1535,3103,194.3,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::Subtract<amrex::FArrayBox, void>(amrex::FabArray<T1> &, const amrex::FabArray<T1> &, int, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
1.2,5415991,1,5415991.0,5415991.0,5415991,5415991,0.0,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, <unnamed>::ResizeRandomSeed(unsigned long)::[lambda(int) (instance 1)], void>(const amrex::Gpu::KernelInfo &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.7,3079107,1336,2304.7,2240.0,1567,4896,659.4,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::FabArray<amrex::FArrayBox>::Xpay<amrex::FArrayBox, (int)0>(amrex::FabArray<amrex::FArrayBox>&, double, const amrex::FabArray<amrex::FArrayBox>&, int, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.6,2790639,2299,1213.8,1120.0,1023,2368,208.6,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::FabArray<amrex::FArrayBox>::setVal<amrex::FArrayBox, (int)0>(double, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.6,2487664,12,207305.3,142845.5,110398,498807,128284.8,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Solver::Nonlocal::Newton<Model::Solid::Finite::NeoHookeanPredeformed>::prepareForSolve(const Set::Field<Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>> &, const Set::Field<Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>> &, Set::Field<double> &, Set::Field<Eigen::Matrix<double, (int)2, (int)2, (int)0, (int)2, (int)2>> &, Set::Field<Set::Matrix4<(int)2, (int)1>> &, Set::Field<Model::Solid::Finite::NeoHookeanPredeformed> &)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.6,2449781,946,2589.6,2336.0,1696,4864,768.2,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::Add<amrex::FArrayBox, void>(amrex::FabArray<T1> &, const amrex::FabArray<T1> &, int, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
