study,label,dx_m,pressure_pa,raw_nyquist_pa,corrected_nyquist_pa
pressure,0,0.0003125,-0.0,0.0,0.0
pressure,0.1,0.0003125,431638.62524623855,1677.5600282498324,1.1423253454267979e-09
pressure,0.5,0.0003125,2158193.126231193,8387.800141241156,2.4253192047278085e-09
pressure,1,0.0003125,4316386.252462386,16775.60028248714,0.0
pressure,2,0.0003125,8632772.504924772,33551.200564968014,5.89837630589803e-09
diag_fixed_width,64,0.000625,4316386.252462387,4380.348739366937,4380.348739367
diag_fixed_width,128,0.0003125,4316386.252462387,2106.920416734193,2106.9204167341813
diag_fixed_width,256,0.00015625,4316386.252462385,1039.4594163618067,1039.4594163618003
radial_fixed_width,64,0.000625,4316386.252462386,30661.048396332684,365.97037138398736
radial_fixed_width,128,0.0003125,4316386.252462385,16689.330329019536,85.61816867993912
radial_fixed_width,256,0.00015625,4316386.252462387,6343.8450873269685,17.69243337502121
radial_fixed_cells,64,0.000625,4316386.252462386,16460.11349502379,312.8665913215761
radial_fixed_cells,128,0.0003125,4316386.252462385,16689.330329019536,85.61816867993912
radial_fixed_cells,256,0.00015625,4316386.252462385,16755.515212348877,19.922342562795773
