r,n,phi,eta,mu,srr_node,srr_face
0.000375,3,1.0,1.0,113600000.00000001,-3835012.757155942,-3835013.3767804997
0.000875,3,1.0,1.0,113600000.00000001,-3835014.4174561687,-3835014.417456169
0.0011250000000000001,6,1.0,1.0,113599999.99999997,-3835011.057463759,-3835013.8348988458
0.001375,5,1.0,1.0,113599999.99999999,-3835006.0747859846,-3835010.7561001424
0.0016250000000000001,8,1.0,1.0,113600000.0,-3835007.4062315077,-3835012.980003729
0.001875,5,1.0,1.0,113599999.99999999,-3835021.7865168927,-3835021.786516895
0.002125,8,1.0,1.0,113600000.0,-3835001.881816777,-3835008.9933964736
0.002375,11,1.0,1.0,113599999.99999999,-3835003.4605636825,-3835011.1333052358
0.002625,6,1.0,1.0,113599999.99999997,-3835011.767261767,-3835036.731106994
0.002875,11,1.0,1.0,113599999.99999999,-3835012.5439493824,-3835259.4497266407
0.003125,10,1.0,1.0,113599999.99999999,-3835279.86366801,-3835401.286100734
0.003375,9,1.0,1.0,113599999.99999999,-3834764.948827369,-3834909.2253826554
0.003625,7,1.0,1.0,113599999.99999997,-3835000.91133615,-3834998.837056319
0.003875,9,1.0,1.0,113600000.00000001,-3835219.3338948404,-3835189.113074796
0.004125,10,1.0,1.0,113599999.99999999,-3834832.924681116,-3834992.1095500328
0.004375,9,1.0,1.0,113599999.99999999,-3835055.5613086172,-3834997.1168930233
0.004625,6,1.0,1.0,113599999.99999996,-3835105.8806920797,-3835071.8594053015
0.004875,14,1.0,1.0,113600000.00000003,-3834824.904669529,-3834895.2968903417
0.005125,9,1.0,1.0,113600000.00000001,-3835168.9086867813,-3835105.6540358425
0.0053750000000000004,8,1.0,1.0,113599999.99999999,-3835025.106156104,-3835319.769240364
0.005625,10,1.0,1.0,113600000.0,-3834767.414401781,-3834726.9056063043
0.005875,12,1.0,1.0,113600000.0,-3835185.1728430353,-3835158.746422172
0.006125,9,1.0,1.0,113599999.99999999,-3834618.131115521,-3834696.7550971275
0.0063750000000000005,12,1.0,1.0,113600000.00000001,-3835029.902251895,-3835012.7460802025
0.006625,9,1.0,1.0,113600000.00000001,-3835127.248869213,-3835063.8335061953
0.006875,13,1.0,1.0,113600000.00000003,-3834813.6597022633,-3834937.2862941422
0.007125,9,1.0,1.0,113599999.99999999,-3835029.011328873,-3834982.727670558
0.0073750000000000005,11,1.0,1.0,113600000.00000001,-3835240.034427661,-3835229.654145778
0.007625,13,1.0,1.0,113600000.00000003,-3834638.020116954,-3834725.093651687
0.007875,13,1.0,1.0,113600000.00000003,-3835205.152109377,-3835205.3548118016
0.008125,8,1.0,1.0,113600000.0,-3834566.776974041,-3834812.21798343
0.008375,15,1.0,1.0,113599999.99999996,-3834915.7103309818,-3834903.2394450894
0.008625,12,1.0,1.0,113600000.0,-3835127.203049469,-3835115.8494636845
0.008875000000000001,15,1.0,1.0,113599999.99999996,-3834953.599545316,-3835100.9288333966
0.009125,11,1.0,1.0,113600000.00000001,-3834942.923174536,-3834940.543654414
0.009375,10,1.0,1.0,113600000.0,-3835099.483779643,-3835086.926009584
0.009625,18,1.0,1.0,113600000.0,-3834882.3348650467,-3835001.909334287
0.009875,13,1.0,1.0,113600000.00000003,-3834895.9047298585,-3834883.5406872374
0.010125,10,1.0,1.0,113600000.00000001,-3835285.68206979,-3835285.6820697887
0.010375,18,1.0,1.0,113600000.0,-3834705.390539073,-3834814.518921226
0.010625,13,1.0,1.0,113600000.00000003,-3835243.2432930907,-3835261.661646692
0.010875000000000001,13,1.0,1.0,113600000.00000003,-3834647.4628097583,-3834843.0498252925
0.011125,15,1.0,1.0,113599999.99999996,-3835118.6231426816,-3835118.623142681
0.011375,15,1.0,1.0,113599999.99999999,-3834915.473071968,-3834918.0568118347
0.011625,17,1.0,1.0,113600000.0,-3834812.0588280205,-3834972.0086348667
0.011875,14,1.0,1.0,113599999.99999996,-3834982.6188053144,-3834994.86091987
0.012125,12,1.0,1.0,113600000.00000001,-3835384.567205996,-3835384.5672059944
0.012375,16,1.0,1.0,113600000.0,-3834568.2957820073,-3834725.0209944625
0.012625,19,1.0,1.0,113599999.99999999,-3835209.343134188,-3835231.74767913
0.012875000000000001,12,1.0,1.0,113599999.99999997,-3834966.7851783447,-3834972.0612397664
0.013125,20,1.0,1.0,113599999.99999999,-3834767.7588578234,-3834919.369279727
0.013375,14,1.0,1.0,113600000.0,-3834789.4332209453,-3834804.952924799
0.013625,18,1.0,1.0,113600000.0,-3835120.4143643426,-3835355.3117250516
0.013875,14,1.0,1.0,113599999.99999996,-3834584.0679461644,-3834583.4173993967
0.014125,18,1.0,1.0,113600000.0,-3835324.378627727,-3835347.8550743563
0.014375,18,1.0,1.0,113600000.0,-3834633.0071052024,-3834819.5163665074
0.014625,17,1.0,1.0,113600000.0,-3835207.6147692916,-3835245.569006228
0.014875000000000001,14,1.0,1.0,113599999.99999996,-3834736.556143943,-3834744.8105878574
0.015125,23,1.0,1.0,113599999.99999997,-3834943.307929669,-3835102.32959858
0.015375,16,1.0,1.0,113600000.0,-3834706.907925873,-3834732.722951201
0.015625,15,1.0,1.0,113599999.99999996,-3835599.122507309,-3835626.5106783
0.015875,24,1.0,1.0,113600000.0,-3834614.0701540103,-3834770.329870739
0.016125,17,1.0,1.0,113600000.0,-3835226.3161857883,-3835255.897018302
0.016375,17,1.0,1.0,113600000.0,-3834502.6978467763,-3834727.007374537
