r,n,phi,eta,mu,srr_node,srr_face
0.000375,3,1.0,1.0,113600000.00000001,-3835012.70116272,-3835013.376780504
0.000875,3,1.0,1.0,113600000.00000001,-3835014.246475392,-3835014.4174561664
0.0011250000000000001,6,1.0,1.0,113599999.99999997,-3835010.9415935897,-3835013.8348988425
0.001375,5,1.0,1.0,113599999.99999999,-3835005.96992723,-3835010.7561001414
0.0016250000000000001,8,1.0,1.0,113600000.0,-3835007.2727786037,-3835012.980003723
0.001875,5,1.0,1.0,113599999.99999999,-3835021.6036586273,-3835021.7865168853
0.002125,8,1.0,1.0,113600000.0,-3835001.7447463707,-3835008.9933964713
0.002375,11,1.0,1.0,113599999.99999999,-3835003.3088964564,-3835011.1333052376
0.002625,6,1.0,1.0,113599999.99999997,-3835011.6619684394,-3835036.73110699
0.002875,11,1.0,1.0,113599999.99999999,-3835012.408710337,-3835259.449726645
0.003125,10,1.0,1.0,113599999.99999999,-3835279.6851022122,-3835401.28610074
0.003375,9,1.0,1.0,113599999.99999999,-3834764.729265225,-3834909.225382676
0.003625,7,1.0,1.0,113599999.99999997,-3835000.52232162,-3834998.8370563234
0.003875,9,1.0,1.0,113600000.00000001,-3835219.011678818,-3835189.1130748135
0.004125,10,1.0,1.0,113599999.99999999,-3834832.69539081,-3834992.1095500397
0.004375,9,1.0,1.0,113599999.99999999,-3835055.1612635376,-3834997.1168930307
0.004625,6,1.0,1.0,113599999.99999996,-3835105.4695693185,-3835071.859405314
0.004875,14,1.0,1.0,113600000.00000003,-3834824.5277950056,-3834895.2968903407
0.005125,9,1.0,1.0,113600000.00000001,-3835168.600810314,-3835105.654035847
0.0053750000000000004,8,1.0,1.0,113599999.99999999,-3835024.719420131,-3835319.7692403644
0.005625,10,1.0,1.0,113600000.0,-3834767.0621381337,-3834726.9056063113
0.005875,12,1.0,1.0,113600000.0,-3835184.666718827,-3835158.7464221767
0.006125,9,1.0,1.0,113599999.99999999,-3834617.913758202,-3834696.7550971415
0.0063750000000000005,12,1.0,1.0,113600000.00000001,-3835029.381918194,-3835012.746080205
0.006625,9,1.0,1.0,113600000.00000001,-3835127.0446740226,-3835063.8335061953
0.006875,13,1.0,1.0,113600000.00000003,-3834813.2963210046,-3834937.286294153
0.007125,9,1.0,1.0,113599999.99999999,-3835028.6071734885,-3834982.727670559
0.0073750000000000005,11,1.0,1.0,113600000.00000001,-3835239.5435543326,-3835229.654145785
0.007625,13,1.0,1.0,113600000.00000003,-3834637.7770409817,-3834725.0936516863
0.007875,13,1.0,1.0,113600000.00000003,-3835204.681091292,-3835205.3548118016
0.008125,8,1.0,1.0,113600000.0,-3834566.7006437355,-3834812.2179834447
0.008375,15,1.0,1.0,113599999.99999996,-3834915.3152184826,-3834903.239445085
0.008625,12,1.0,1.0,113600000.0,-3835126.891379434,-3835115.8494636817
