r,n,phi,eta,mu,srr_node,srr_face
0.000375,3,1.0,1.0,113600000.00000001,-3986754.362473004,-3986754.776047103
0.000875,3,1.0,1.0,113600000.00000001,-3986755.4708968336,-3986755.4708968317
0.0011250000000000001,6,1.0,1.0,113599999.99999997,-3986753.228405717,-3986755.0832477403
0.001375,5,1.0,1.0,113599999.99999999,-3986749.9021797436,-3986753.031041632
0.0016250000000000001,8,1.0,1.0,113600000.0,-3986750.791036638,-3986754.51616695
0.001875,5,1.0,1.0,113599999.99999999,-3986760.398680997,-3986760.3986809957
0.002125,8,1.0,1.0,113600000.0,-3986747.1000931687,-3986751.852872405
0.002375,11,1.0,1.0,113599999.99999999,-3986748.1541772205,-3986753.278560913
0.002625,6,1.0,1.0,113599999.99999997,-3986753.8753697863,-3986770.45177694
0.002875,11,1.0,1.0,113599999.99999999,-3986754.2431162833,-3987084.8057997325
0.003125,10,1.0,1.0,113599999.99999999,-3987119.9752538525,-3987284.2719594203
0.003375,9,1.0,1.0,113599999.99999999,-3986448.8644981324,-3986637.541143639
0.003625,7,1.0,1.0,113599999.99999997,-3986724.8870212534,-3986728.544539841
0.003875,9,1.0,1.0,113600000.00000001,-3987028.518087309,-3986984.7759725857
0.004125,10,1.0,1.0,113599999.99999999,-3986567.4427607586,-3986780.622791511
0.004375,9,1.0,1.0,113599999.99999999,-3986803.1462504654,-3986719.556430389
0.004625,6,1.0,1.0,113599999.99999996,-3986883.301807823,-3986849.0117288143
0.004875,14,1.0,1.0,113600000.00000003,-3986526.769347237,-3986605.188191165
0.005125,9,1.0,1.0,113600000.00000001,-3987009.4813800617,-3986923.6668456905
0.0053750000000000004,8,1.0,1.0,113599999.99999999,-3986770.7978248596,-3987099.102961177
0.005625,10,1.0,1.0,113600000.0,-3986483.227351421,-3986435.6607583165
0.005875,12,1.0,1.0,113600000.0,-3986950.041649374,-3986903.811311002
0.006125,9,1.0,1.0,113599999.99999999,-3986343.692241098,-3986425.310783889
0.0063750000000000005,12,1.0,1.0,113600000.00000001,-3986733.489807269,-3986709.597541004
0.006625,9,1.0,1.0,113600000.00000001,-3987013.9932568003,-3986923.8992914795
0.006875,13,1.0,1.0,113600000.00000003,-3986536.464989223,-3986662.1404486313
0.007125,9,1.0,1.0,113599999.99999999,-3986820.482187373,-3986743.1076598973
0.0073750000000000005,11,1.0,1.0,113600000.00000001,-3986952.7956951377,-3986932.9146747566
0.007625,13,1.0,1.0,113600000.00000003,-3986421.073108599,-3986509.727238121
0.007875,13,1.0,1.0,113600000.00000003,-3986936.3800570397,-3986921.946824362
0.008125,8,1.0,1.0,113600000.0,-3986386.6045121024,-3986643.6288311626
0.008375,15,1.0,1.0,113599999.99999996,-3986621.3780016582,-3986601.728744969
0.008625,12,1.0,1.0,113600000.0,-3986917.982409468,-3986878.0403333833
0.008875000000000001,15,1.0,1.0,113599999.99999996,-3986697.432988364,-3986827.4962249547
0.009125,11,1.0,1.0,113600000.00000001,-3986661.1228420977,-3986640.7972901687
0.009375,10,1.0,1.0,113600000.0,-3986896.1224519885,-3986869.6767253894
0.009625,18,1.0,1.0,113600000.0,-3986625.561917616,-3986726.711483322
0.009875,13,1.0,1.0,113600000.00000003,-3986660.748436121,-3986620.997465058
0.010125,10,1.0,1.0,113600000.00000001,-3987007.364442815,-3987007.3644428146
0.010375,18,1.0,1.0,113600000.0,-3986464.5945474776,-3986552.550761172
0.010625,13,1.0,1.0,113600000.00000003,-3986968.0987309683,-3986954.4317526566
0.010875000000000001,13,1.0,1.0,113600000.00000003,-3986481.7039520373,-3986650.832720322
0.011125,15,1.0,1.0,113599999.99999996,-3986805.373432787,-3986805.3734327876
0.011375,15,1.0,1.0,113599999.99999999,-3986726.028991292,-3986704.641988631
0.011625,17,1.0,1.0,113600000.0,-3986572.7978021726,-3986700.146360213
0.011875,14,1.0,1.0,113599999.99999996,-3986705.5675631883,-3986688.7568880655
