outer_bc,r,sig_rr,sig_tt,sig_rt_abs,mu,eta,level,n,ana_sig_r,ana_sig_th
free,0.00030925,-3877603.5479103886,-3752474.821588701,0.0,113600000.0,1.0,0,1,-3760522.6307420786,-3760522.6307420786
free,0.0015462499999999999,-3815228.990320413,-3815087.3493387783,1.4871480573994913e-05,113600000.0,1.0,0,2,-3760522.6307420786,-3760522.6307420786
free,0.00216475,-3815034.8472521314,-3815448.7446137667,62621.98915986065,113600000.0,1.0,0,1,-3760522.6307420786,-3760522.6307420786
free,0.00278325,-3815453.6156306677,-3815070.4112082548,24896.38553874425,113600000.0,1.0,0,4,-3760522.6307420786,-3760522.6307420786
free,0.0040202499999999995,-3815816.3628810835,-3814807.8887151643,20681.715069186514,113600000.0,1.0,0,3,-3760522.6307420786,-3760522.6307420786
free,0.0046387500000000005,-3814943.8334769816,-3815826.318126847,46743.22757343475,113600000.0,1.0,0,4,-3760522.6307420786,-3760522.6307420786
free,0.00525725,-3817975.162151335,-3812798.6655302923,5.535209331371288e-05,113600000.0,1.0,0,2,-3760522.6307420786,-3760522.6307420786
free,0.005875750000000001,-3815214.4528275044,-3815686.616285971,42773.38548273528,113600000.0,1.0,0,5,-3760522.6307420786,-3760522.6307420786
free,0.00711275,-3816600.8689829465,-3814448.454957416,30129.51117311755,113600000.0,1.0,0,8,-3760522.6307420786,-3760522.6307420786
free,0.00773125,-3811566.0746605457,-3819260.2215731437,53946.3563855397,113600000.0,1.0,0,3,-3760522.6307420786,-3760522.6307420786
free,0.00834975,-3821317.2952785,-3810233.2194262007,9158.119487167653,113600000.0,1.0,0,4,-3760522.6307420786,-3760522.6307420786
free,0.00896825,-3813504.456602493,-3817509.760634733,45288.347323560585,113600000.0,1.0,0,6,-3760522.6307420786,-3760522.6307420786
free,0.009586750000000002,-3817225.757878221,-3814193.2469160035,26998.88713796112,113600000.0,1.0,0,7,-3760522.6307420786,-3760522.6307420786
free,0.010205249999999999,-3817665.27775916,-3813994.7876610914,34661.316792740225,113600000.0,1.0,0,4,-3760522.6307420786,-3760522.6307420786
free,0.01082375,-3763118.152338334,-3850366.0113346577,4052.464479055592,113600000.0,1.0,1,3,-3760522.6307420786,-3760522.6307420786
free,0.011442250000000001,-3765629.4087021793,-3847507.5175252757,11786.012976181755,113600000.0,1.0,1,7,-3760522.6307420786,-3760522.6307420786
free,0.01206075,-3767904.8731353665,-3844453.116158501,15314.731066586832,113600000.0,1.0,1,8,-3760522.6307420786,-3760522.6307420786
free,0.01267925,-3770582.6253341683,-3841832.588748591,19942.977909875677,113600000.0,1.0,1,8,-3760522.6307420786,-3760522.6307420786
free,0.01329775,-3770638.6030119625,-3839716.355836054,16327.871679993636,113600000.0,1.0,1,12,-3760522.6307420786,-3760522.6307420786
free,0.013916250000000002,-3773042.966854104,-3836646.6941710715,17608.415587451567,113600000.0,1.0,1,14,-3760522.6307420786,-3760522.6307420786
free,0.014534749999999999,-3774532.5265704887,-3834000.1594198886,17846.27538441182,113600000.0,1.0,1,16,-3760522.6307420786,-3760522.6307420786
