outer_bc,r,sig_rr,sig_tt,sig_rt_abs,mu,eta,level,n,ana_sig_r,ana_sig_th
free,0.00036541666666666667,-3980028.652793029,-3979801.3126198165,114.51877881935808,113600000.0,1.0,2,6,-3908761.719824142,-3908761.719824142
free,0.00109625,-3979911.821354898,-3979915.8509708354,372.10137971177676,113600000.0,1.0,2,14,-3908761.719824142,-3908761.719824142
free,0.0018270833333333333,-3979906.0488745156,-3979919.8798167417,370.73719244674993,113600000.0,1.0,2,19,-3908761.719824142,-3908761.719824142
free,0.0025579166666666667,-3979909.542362435,-3979915.438669768,409.794949482919,113600000.0,1.0,2,26,-3908761.719824142,-3908761.719824142
free,0.00328875,-3980165.5394821707,-3979659.614865863,449.91441957150914,113600000.0,1.0,2,25,-3908761.719824142,-3908761.719824142
free,0.004019583333333333,-3980355.059812343,-3979478.134535677,310.98473373371996,113600000.0,1.0,2,20,-3908761.719824142,-3908761.719824142
free,0.004750416666666667,-3980369.507827006,-3979469.9784805314,229.6320435064041,113600000.0,1.0,2,21,-3908761.719824142,-3908761.719824142
free,0.00548125,-3980348.2065950143,-3979501.974797157,111.44112784891468,113600000.0,1.0,2,21,-3908761.719824142,-3908761.719824142
free,0.006212083333333333,-3980295.4945111116,-3979564.2370999367,39.06588337223737,113600000.0,1.0,2,20,-3908761.719824142,-3908761.719824142
free,0.006942916666666667,-3980225.507320405,-3979644.124175565,46.14691895182124,113600000.0,1.0,2,20,-3908761.719824142,-3908761.719824142
free,0.00767375,-3980142.1522155814,-3979737.457788197,109.07832551838712,113600000.0,1.0,2,20,-3908761.719824142,-3908761.719824142
free,0.008404583333333333,-3980034.964691928,-3979854.2875267337,166.04749330795352,113600000.0,1.0,2,19,-3908761.719824142,-3908761.719824142
free,0.009135416666666667,-3979930.7529704696,-3979966.606725639,217.12575518293636,113600000.0,1.0,2,19,-3908761.719824142,-3908761.719824142
free,0.00986625,-3979819.508822934,-3980084.635344196,263.49076159376636,113600000.0,1.0,2,19,-3908761.719824142,-3908761.719824142
free,0.010597083333333333,-3979694.5333173852,-3980214.057779062,289.60022664154957,113600000.0,1.0,2,18,-3908761.719824142,-3908761.719824142
free,0.011327916666666667,-3979551.1784575344,-3980359.450892993,298.5683993705285,113600000.0,1.0,2,23,-3908761.719824142,-3908761.719824142
free,0.01205875,-3979417.9630457046,-3980492.384412276,346.40241837990106,113600000.0,1.0,2,19,-3908761.719824142,-3908761.719824142
free,0.012789583333333333,-3979292.5856143204,-3980614.4083795045,369.10634548202626,113600000.0,1.0,2,19,-3908761.719824142,-3908761.719824142
free,0.013520416666666667,-3979168.418506283,-3980732.299008083,386.58018413239836,113600000.0,1.0,2,19,-3908761.719824142,-3908761.719824142
free,0.01425125,-3979046.883776917,-3980844.6225327863,398.55360788364715,113600000.0,1.0,2,19,-3908761.719824142,-3908761.719824142
free,0.014982083333333333,-3978929.4243638585,-3980950.102870031,404.859615383416,113600000.0,1.0,2,19,-3908761.719824142,-3908761.719824142
free,0.015712916666666667,-3978811.545618536,-3981052.7446003575,379.31592628716527,113600000.0,1.0,2,18,-3908761.719824142,-3908761.719824142
free,0.01644375,-3978698.49673751,-3981148.347969388,328.63201431625043,113600000.0,1.0,2,21,-3908761.719824142,-3908761.719824142
free,0.017174583333333333,-3978605.3865374746,-3981224.100359164,347.7670355274718,113600000.0,1.0,2,20,-3908761.719824142,-3908761.719824142
free,0.017905416666666667,-3978525.064052894,-3981287.798233297,335.5938864442785,113600000.0,1.0,2,19,-3908761.719824142,-3908761.719824144
free,0.01863625,-3978457.004285503,-3981340.6590326065,323.8905424071292,113600000.0,1.0,2,20,-3908761.719824145,-3908761.719824419
free,0.019367083333333333,-3978402.953660611,-3981383.808659487,288.02906287368415,113600000.0,1.0,2,19,-3908761.719824249,-3908761.719836534
free,0.020097916666666667,-3979482.203069153,-3980539.2742473404,877.1998478645861,113600000.0,1.0,2,26,-3908761.7198497606,-3908761.7227860186
free,0.02082875,-3980240.480393756,-3979979.4488079837,1223.975699473606,113600000.0,1.0,2,35,-3908761.72042656,-3908761.7672005747
free,0.021559583333333333,-3980711.0380064645,-3979659.2450388004,1406.3574094925636,113600000.0,0.9999999999999996,2,43,-3908761.729430724,-3908762.396025336
free,0.022290416666666667,-3978855.740623815,-3980434.211638725,1325.6775142775616,113600000.0,0.9999999999981131,2,113,-3908761.812534415,-3908767.450048068
free,0.02302125,-3978934.2800813196,-3980327.1795248496,1738.6851485503284,113599999.99985051,0.999999999850737,2,161,-3908762.5574639537,-3908822.704407727
free,0.023752083333333333,-3978899.252622401,-3980589.206396757,2039.6401867338839,113599999.98149322,0.9999999941240842,2,199,-3908769.198086776,-3909268.522471387
free,0.024482916666666667,-3978927.632116293,-3983366.840765644,2164.16547528209,113599998.95361164,0.999999713524446,2,242,-3908819.4107251745,-3912408.42279716
free,0.02521375,-3979268.52698763,-3997636.1970777567,1839.8097218094244,113599951.21610515,0.9999895539814051,2,251,-3909102.947986154,-3926820.2670825706
free,0.025944583333333333,-3980045.368001253,-4045152.8965253276,1967.9710235679547,113598752.74377781,0.999805785348928,2,263,-3910283.22625938,-3986536.155047431
free,0.026675416666666667,-3981853.876064055,-4176995.746473731,6205.010714720988,113572603.63940287,0.9978689434750224,2,278,-3914229.1226587263,-4146277.5305287535
free,0.02740625,-3968277.201628805,-4821616.530063191,10388.168685616152,113172674.84538528,0.9748937684182698,2,290,-3926900.6086834413,-4833229.763343774
free,0.05152375,-4127300.0119976834,138945.4053202795,14593.07874758417,113392557.25534996,0.9935248136351195,2,527,-4335863.012541721,374908.13084229623
free,0.05225458333333333,-4073037.7376195067,399745.59013939486,13712.79286103937,113583070.91707455,0.9978626918401291,2,537,-4267495.29220605,647247.3346024128
free,0.05298541666666667,-4012629.6903904076,441079.3144040305,10907.722313804563,113599096.40616332,0.9997453076253255,2,517,-4199113.559879788,710433.0264581493
free,0.05371625,-3954184.616159015,425043.1237293895,9683.65811098804,113599971.07151034,0.9999886601406547,2,427,-4132347.974545517,695157.8092632085
free,0.05444708333333333,-3897754.14654632,379483.2434848952,9308.14318096126,113599999.12973058,0.9999996276658341,2,350,-4067865.298210656,645204.8899919569
free,0.05517791666666667,-3842867.787699586,325995.1159877812,9304.288450387588,113599999.97810385,0.9999999926801248,2,267,-4005833.1059081205,585719.182801058
