outer_bc,r,sig_rr,sig_tt,sig_rt_abs,mu,eta,level,n,ana_sig_r,ana_sig_th
free,0.00036541666666666667,-3979977.0914413244,-3979749.20226633,114.79456880999118,113600000.0,1.0,2,6,-3909121.6244138232,-3909121.6244138232
free,0.00109625,-3979859.980669803,-3979864.0164446076,372.9983018580604,113600000.0,1.0,2,14,-3909121.6244138232,-3909121.6244138232
free,0.0018270833333333333,-3979854.1993931737,-3979868.051364084,371.6327946091429,113600000.0,1.0,2,19,-3909121.6244138232,-3909121.6244138232
free,0.0025579166666666667,-3979857.698039902,-3979863.6034545875,410.7876222365582,113600000.0,1.0,2,26,-3909121.6244138232,-3909121.6244138232
free,0.00328875,-3980114.294170488,-3979607.172996754,451.03257866122107,113600000.0,1.0,2,25,-3909121.6244138232,-3909121.6244138232
free,0.004019583333333333,-3980304.2962166206,-3979425.206574939,311.8375031124917,113600000.0,1.0,2,20,-3909121.6244138232,-3909121.6244138232
free,0.004750416666666667,-3980318.8052153387,-3979416.9847551323,230.34404614506906,113600000.0,1.0,2,21,-3909121.6244138232,-3909121.6244138232
free,0.00548125,-3980297.5331439916,-3979448.942989011,111.90314283598833,113600000.0,1.0,2,21,-3909121.6244138232,-3909121.6244138232
free,0.006212083333333333,-3980244.7659986587,-3979511.247142448,39.24501986085376,113600000.0,1.0,2,20,-3909121.6244138232,-3909121.6244138232
free,0.006942916666666667,-3980174.687936111,-3979591.207162825,46.04681542445562,113600000.0,1.0,2,20,-3909121.6244138232,-3909121.6244138232
free,0.00767375,-3980091.2182405144,-3979684.630460779,108.98697000330067,113600000.0,1.0,2,20,-3909121.6244138232,-3909121.6244138232
free,0.008404583333333333,-3979983.8807176203,-3979801.5731670763,166.06521482211093,113600000.0,1.0,2,19,-3909121.6244138232,-3909121.6244138232
free,0.009135416666666667,-3979879.516116736,-3979914.000211474,217.22974094164792,113600000.0,1.0,2,19,-3909121.6244138232,-3909121.6244138232
free,0.00986625,-3979768.1060793055,-3980032.1369052483,263.67267307341143,113600000.0,1.0,2,19,-3909121.6244138232,-3909121.6244138232
free,0.010597083333333333,-3979642.940303215,-3980161.6736328197,289.8390472017741,113600000.0,1.0,2,18,-3909121.6244138232,-3909121.6244138232
free,0.011327916666666667,-3979499.3599954434,-3980307.1838616002,298.8412750129782,113600000.0,1.0,2,23,-3909121.6244138232,-3909121.6244138232
free,0.01205875,-3979365.932548938,-3980440.202489001,346.7448365915071,113600000.0,1.0,2,19,-3909121.6244138232,-3909121.6244138232
free,0.012789583333333333,-3979240.3509228425,-3980562.2875377396,369.4884478039022,113600000.0,1.0,2,19,-3909121.6244138232,-3909121.6244138232
free,0.013520416666666667,-3979115.9772314923,-3980680.2143957107,386.99352123728283,113600000.0,1.0,2,19,-3909121.6244138232,-3909121.6244138232
free,0.01425125,-3978994.2354846206,-3980792.544194933,398.98900489892605,113600000.0,1.0,2,19,-3909121.6244138232,-3909121.6244138232
free,0.014982083333333333,-3978876.5706760413,-3980897.995646524,405.3072254953142,113600000.0,1.0,2,19,-3909121.6244138232,-3909121.6244138232
free,0.015712916666666667,-3978883.8737036805,-3980877.723178266,487.64126465246744,113600000.0,1.0,2,19,-3909121.6244138232,-3909121.6244138232
free,0.01644375,-3979491.8370627332,-3980302.2768929233,947.3367982605661,113600000.0,1.0,2,30,-3909121.6244138232,-3909121.6244138232
free,0.017174583333333333,-3980107.4459355357,-3979767.5814311467,1345.675700502357,113600000.0,1.0,2,39,-3909121.6244138232,-3909121.6244138232
free,0.017905416666666667,-3980671.4006566564,-3979346.454384082,1468.8095031708388,113600000.0,1.0,2,47,-3909121.6244138298,-3909121.624414503
free,0.01863625,-3980970.8074563784,-3979165.91834011,1510.6046429295418,113600000.0,1.0,2,56,-3909121.624414073,-3909121.6244326797
free,0.019367083333333333,-3981344.5540478174,-3978956.4058861886,1578.1027498470276,113600000.0,1.0,2,63,-3909121.624418622,-3909121.6247979
free,0.020097916666666667,-3981696.972574582,-3978793.094988773,1699.796249205126,113600000.0,1.0,2,72,-3909121.624495627,-3909121.630621818
free,0.02082875,-3981900.6091136397,-3978762.562789373,1809.5791321064135,113600000.0,1.0,2,80,-3909121.6254713545,-3909121.694262956
free,0.021559583333333333,-3982068.8318359293,-3978795.7815835243,1878.9380877993365,113599999.99999803,0.9999999999999263,2,84,-3909121.63752715,-3909122.541277521
free,0.022290416666666667,-3981553.2303941664,-3979290.9018963315,1710.9902620214743,113599999.99995169,0.9999999999974518,2,113,-3909121.7656920096,-3909131.0628399
free,0.02302125,-3981168.848669414,-3979705.5232734177,1760.4943008562516,113599999.99852902,0.9999999998441413,2,137,-3909122.843416178,-3909203.152994972
free,0.023752083333333333,-3980611.5935526574,-3980574.4061479815,1862.4587379363172,113599999.94722572,0.9999999922256811,2,154,-3909131.3143610107,-3909758.277968718
free,0.024482916666666667,-3979814.928383062,-3983986.976608621,1926.261857439516,113599998.08566567,0.9999997442926537,2,186,-3909190.0368490936,-3913222.2889784435
free,0.02521375,-3979277.8977176254,-3997870.687136345,1731.8872713384471,113599951.3024872,0.9999895654756644,2,225,-3909478.6118473723,-3926864.515785733
free,0.025944583333333333,-3980039.08483733,-4044908.2570218924,1963.5290952036278,113598754.48687914,0.9998059056113324,2,261,-3910652.499663788,-3985785.9566916144
free,0.026675416666666667,-3981960.6156218774,-4176698.33071544,6292.566455568975,113572971.39698903,0.9978691898821985,2,278,-3914590.778085085,-4146879.868809139
free,0.02740625,-3968197.84980807,-4821340.125043829,10485.176355869637,113173777.07953171,0.9750240287365617,2,287,-3927204.9763425393,-4825765.125388013
free,0.05152375,-4127091.5826639435,141093.49001474603,14555.02680297839,113394166.28416637,0.9935572393940744,2,516,-4335574.921978721,376820.4929734251
free,0.05225458333333333,-4072640.4963351875,401883.92210979346,13387.66447090966,113586514.36558829,0.9978628612927041,2,541,-4267179.315319708,653561.872758508
free,0.05298541666666667,-4012582.7504006033,441960.83102516277,11014.760098671026,113599213.0172263,0.9997454500882864,2,510,-4198760.003418991,711626.759891774
free,0.05371625,-3955049.384564383,425501.63740526896,9382.403135138293,113599971.51505955,0.9999886744411444,2,454,-4131984.056161816,695808.4563700587
free,0.05444708333333333,-3899483.026053573,381740.4168374978,8570.453701263992,113599998.8302932,0.9999995736892989,2,419,-4067503.532585578,645093.3766455989
free,0.05517791666666667,-3844357.322763619,331572.3341398488,8052.610954935653,113599999.95011051,0.9999999904735828,2,377,-4005477.442587924,585619.8207632191
free,0.05590875,-3788838.7386910208,282485.1747764755,7702.060274618583,113599999.99694021,0.9999999998201334,2,272,-3945852.155656309,526401.8109288153
free,0.05663958333333333,-3737293.805672213,232238.6004628081,7213.65066562026,113599999.99989992,0.9999999999963032,2,231,-3888517.3532116557,469136.35144602024
free,0.05737041666666667,-3687987.9752947874,183101.7481897496,6201.0338135150305,113599999.99999873,0.9999999999999499,2,207,-3833362.0386030334,413988.7655062438
free,0.05810125,-3639130.894505343,134774.19885847735,5404.166967472175,113600000.0,1.0,2,185,-3780270.7250643806,360898.2196727551
free,0.05883208333333333,-3592032.602576667,88000.33664493707,4459.7075262799935,113600000.0,1.0,2,152,-3729147.1741390945,309774.73099953006
free,0.05956291666666667,-3547219.6045600963,43491.75882226669,3501.4944450854205,113600000.0,1.0,2,132,-3679895.135876134,260522.69709219868
free,0.06029375,-3501132.416877533,-3087.1955129386397,2627.0412851690494,113600000.0,1.0,2,113,-3632421.863057892,213049.42456349768
free,0.06102458333333333,-3456510.8292138106,-45970.49312537923,2149.9795824160215,113600000.0,1.0,2,91,-3586642.7778388285,167270.33936393398
free,0.06175541666666667,-3414934.6796968766,-86583.70613505835,1844.3904476944283,113600000.0,1.0,2,74,-3542480.8265436417,123108.38806937962
free,0.06248625,-3374513.0972675188,-127312.8236825338,2290.0971490336997,113600000.0,1.0,2,63,-3499860.133933797,80487.69545953497
free,0.06321708333333334,-3334586.5132431756,-167392.43606878043,3118.18289787033,113600000.0,1.0,2,52,-3458707.950692857,39335.512218595046
free,0.06394791666666666,-3294655.537476314,-207477.75624790843,3946.47851345658,113600000.0,1.0,2,41,-3418957.6246791817,-414.8137950804821
free,0.06467875000000001,-3253752.127648149,-248058.57135610556,4641.498590142408,113600000.0,1.0,2,31,-3380548.553040045,-38823.88543421696
free,0.06540958333333333,-3207626.094460869,-292998.4488803331,5182.238238074477,113600000.0,1.0,2,21,-3343420.208890094,-75952.22958416809
free,0.06614041666666667,-3158081.201988647,-337598.45539423765,5572.029055624484,113600000.0,1.0,2,26,-3307514.909137618,-111857.52933664445
free,0.06687125,-3117273.968582896,-372757.2678500526,7240.771259855862,113600000.0,1.0,2,19,-3272779.5559420814,-146592.8825321804
free,0.06760208333333334,-3083019.4709479045,-401415.20243133866,7727.520660197553,113600000.0,1.0,2,18,-3239165.993434454,-180206.44503980834
free,0.06833291666666666,-3050689.48336524,-427929.65167043405,8833.407760811662,113600000.0,1.0,2,18,-3206625.4106492847,-212747.02782497735
free,0.06906375000000001,-3018672.8246120512,-453433.284398516,10204.48188416156,113600000.0,1.0,2,18,-3175111.61882012,-244260.81965414205
free,0.06979458333333333,-2986820.6676418637,-477870.6748580716,11929.801190772654,113600000.0,1.0,2,18,-3144581.8975393246,-274790.54093493754
free,0.07052541666666667,-2954947.826717723,-501143.325942635,14151.415707497981,113600000.0,1.0,2,18,-3114997.622226746,-304374.81624751654
free,0.07125625,-2914334.6263149776,-527841.3733008878,15935.566506311034,113600000.0,1.0,2,24,-3086319.0353474715,-333053.403126791
free,0.07198708333333334,-2879714.533640822,-549638.5210880439,24357.455528888197,113600000.0,1.0,2,21,-3058508.8186562513,-360863.61981801083
free,0.07271791666666666,-2839029.95768586,-569521.035609657,27262.266430992448,113600000.0,1.0,2,18,-3031532.287977523,-387840.1504967388
free,0.07344875000000001,-2802322.7100054435,-581592.4878514162,31394.99472114319,113600000.0,1.0,2,18,-3005358.1978078694,-414014.24066639296
free,0.07417958333333333,-2762103.374864773,-584942.4201852266,36795.82038442399,113600000.0,1.0,2,18,-2979953.865793978,-439418.5726802841
free,0.07491041666666667,-2691333.8575418233,-563774.065950476,55681.795498907166,113600000.0,1.0,2,18,-2955288.891717345,-464083.5467569172
free,0.07564125,-2557625.866698289,-541021.9895096512,59183.45688191938,221856544.11764488,1.0,2,18,-2931334.880075914,-488037.55839834845
free,0.07637208333333334,-2577292.447375333,650416.356878583,87470.36786054765,1634346691.1764684,1.0,2,18,-2908066.355975023,-511306.0824992392
