r,n,phi,eta,mu,srr_node,srr_face
0.000125,3,1.0,1.0,113600000.00000001,-3958726.3889633864,
0.000375,3,1.0,1.0,113600000.00000001,-3959557.93648651,-3959557.4164224276
0.000625,7,1.0,1.0,113600000.00000001,-3959558.1210202966,-3959557.6580399526
0.000875,7,1.0,1.0,113600000.00000001,-3959558.277779753,-3959557.2964729136
0.0011250000000000001,10,1.0,1.0,113599999.99999999,-3959558.7590566743,-3959557.7823090903
0.001375,11,1.0,1.0,113599999.99999999,-3959558.237415901,-3959556.7548790234
0.0016250000000000001,13,1.0,1.0,113600000.0,-3959559.4434830495,-3959558.004586915
0.001875,15,1.0,1.0,113600000.0,-3959557.2293399824,-3958902.663984051
0.002125,11,1.0,1.0,113599999.99999999,-3958569.725098413,-3958186.2001197897
0.002375,15,1.0,1.0,113600000.00000003,-3960106.0588904554,-3959826.2142044273
0.002625,12,1.0,1.0,113600000.0,-3959429.7924176147,-3958878.1876887884
0.002875,16,1.0,1.0,113599999.99999999,-3959487.714520323,-3959630.9331274154
0.003125,14,1.0,1.0,113600000.0,-3959807.384373068,-3959535.762846409
0.003375,15,1.0,1.0,113600000.00000003,-3959415.712221443,-3959614.1085946816
0.003625,14,1.0,1.0,113599999.99999999,-3959782.2516909894,-3959557.4394813585
0.003875,16,1.0,1.0,113599999.99999999,-3959345.782200764,-3959463.4906681455
0.004125,15,1.0,1.0,113599999.99999999,-3960044.088576391,-3959915.689608595
0.004375,15,1.0,1.0,113600000.0,-3959240.990605532,-3959438.562630973
0.004625,17,1.0,1.0,113599999.99999999,-3959785.7440933827,-3959646.005377255
0.004875,16,1.0,1.0,113600000.0,-3959345.083997017,-3959462.4634752474
0.005125,18,1.0,1.0,113599999.99999999,-3959961.852467042,-3959863.3876920473
0.0053750000000000004,16,1.0,1.0,113600000.0,-3959249.703556599,-3958957.4766691113
0.005625,21,1.0,1.0,113600000.0,-3959649.8929213923,-3959735.2404834917
0.005875,21,1.0,1.0,113599999.99999999,-3959614.13754052,-3959522.4135922217
0.006125,19,1.0,1.0,113599999.99999999,-3959629.878696837,-3959730.919134991
0.0063750000000000005,20,1.0,1.0,113599999.99999999,-3959699.5348278526,-3959571.6262404583
0.006625,17,1.0,1.0,113599999.99999999,-3959484.5108562745,-3959591.088192184
0.006875,24,1.0,1.0,113600000.0,-3959808.118306116,-3959723.2067862255
0.007125,19,1.0,1.0,113599999.99999999,-3959264.766119321,-3959343.550109385
0.0073750000000000005,22,1.0,1.0,113599999.99999999,-3959842.896224721,-3959746.36269051
0.007625,16,1.0,1.0,113600000.0,-3959267.4487381643,-3959372.8175526243
0.007875,30,1.0,1.0,113600000.00000001,-3959802.27105502,-3959793.233639564
0.008125,24,1.0,1.0,113600000.0,-3959496.628131794,-3959373.1096082726
0.008375,23,1.0,1.0,113599999.99999999,-3959577.774578713,-3959652.089256227
0.008625,22,1.0,1.0,113599999.99999997,-3959760.2740545627,-3959651.2112810556
0.008875000000000001,24,1.0,1.0,113600000.0,-3959500.903050989,-3959563.966592755
0.009125,29,1.0,1.0,113600000.0,-3959732.488942583,-3959653.1392441043
0.009375,21,1.0,1.0,113600000.0,-3959269.4556847154,-3959337.1623582104
0.009625,26,1.0,1.0,113600000.00000001,-3959815.0896649393,-3959730.0365104545
0.009875,23,1.0,1.0,113599999.99999997,-3959366.734799095,-3959459.1820349465
0.010125,28,1.0,1.0,113600000.0,-3959881.5169579056,-3959807.5382568063
0.010375,26,1.0,1.0,113600000.00000001,-3959224.891825235,-3959268.8993617287
0.010625,31,1.0,1.0,113600000.00000003,-3959821.8958104765,-3959770.4798691734
0.010875000000000001,27,1.0,1.0,113600000.00000001,-3959586.5143334917,-3959475.3861304745
0.011125,30,1.0,1.0,113600000.00000001,-3959593.6403706903,-3959639.8537088553
0.011375,30,1.0,1.0,113600000.00000009,-3959639.705099758,-3959549.0914270156
0.011625,31,1.0,1.0,113600000.0000001,-3959510.0414491347,-3959550.195562619
0.011875,30,1.0,1.0,113600000.00000006,-3959743.159771986,-3959654.348773111
0.012125,25,1.0,1.0,113599999.99999999,-3959425.078563715,-3959502.1907186266
0.012375,35,1.0,1.0,113600000.00000003,-3959799.210077028,-3959730.6828594417
0.012625,31,1.0,1.0,113600000.00000009,-3959296.427654536,-3959329.172677839
0.012875000000000001,33,1.0,1.0,113600000.00000001,-3959862.815416419,-3959790.6968468735
0.013125,28,1.0,1.0,113600000.00000001,-3959359.786267718,-3959238.1660026284
0.013375,37,1.0,1.0,113600000.00000004,-3959718.061353193,-3959752.0885864245
0.013625,36,1.0,1.0,113600000.00000003,-3959621.2955058534,-3959538.5539408377
0.013875,33,1.0,1.0,113600000.00000001,-3959463.2829817496,-3959496.9175304864
0.014125,33,1.0,1.0,113600000.00000003,-3959781.6433351617,-3959696.9118378814
0.014375,30,1.0,1.0,113600000.00000009,-3959469.067377721,-3959504.343705966
0.014625,41,1.0,1.0,113600000.00000001,-3959746.572913505,-3959694.363881432
0.014875000000000001,34,1.0,1.0,113600000.0,-3959293.4681833903,-3959319.432589189
0.015125,36,1.0,1.0,113600000.00000004,-3959895.117149322,-3959825.435583353
0.015375,29,1.0,1.0,113600000.00000004,-3959321.98931667,-3959353.8887116592
0.015625,39,1.0,1.0,113600000.00000007,-3959780.863989515,-3959711.5293459683
0.015875,44,1.0,1.0,113600000.00000003,-3959473.957098292,-3959406.65773063
0.016125,39,1.0,1.0,113600000.00000006,-3959660.902595187,-3959688.8664272176
0.016375,35,1.0,1.0,113600000.00000001,-3959640.9550512396,-3959549.6292400924
0.016625,37,1.0,1.0,113600000.00000004,-3959534.2549819513,-3959561.5046693617
0.016875,48,1.0,1.0,113600000.0,-3959708.7733412487,-3959661.048462241
0.017125,37,1.0,1.0,113600000.00000004,-3959387.3719022344,-3959410.337115373
0.017375,39,1.0,1.0,113600000.00000007,-3959747.902095903,-3959676.010126516
0.017625000000000002,35,1.0,1.0,113600000.00000003,-3959509.7349279146,-3959536.3332071523
0.017875000000000002,44,1.0,1.0,113600000.00000003,-3959778.942110311,-3959718.9970707903
0.018125,40,1.0,1.0,113600000.00000001,-3959328.8191425484,-3959348.357015657
0.018375,47,1.0,1.0,113600000.00000003,-3959724.391647567,-3959677.184047213
0.018625,43,1.0,1.0,113600000.00000003,-3959619.1666692276,-3959546.546036252
0.018875,42,1.0,1.0,113600000.00000001,-3959662.078772289,-3959685.8359777667
0.019125,44,1.0,1.0,113600000.00000003,-3959599.0048890347,-3959534.064088562
0.019375,45,1.0,1.0,113600000.00000004,-3959428.2350366837,-3959456.8281411827
0.019625,44,1.0,1.0,113600000.00000003,-3959811.676881513,-3959759.5115357554
0.019875,43,1.0,1.0,113600000.00000003,-3959527.758993906,-3959594.7551506967
0.020125,52,1.0,1.0,113600000.00000003,-3959702.8599461033,-3959694.407124644
0.020375,49,1.0,1.0,113600000.00000001,-3959341.243454323,-3959397.714398745
0.020625,57,1.0,1.0,113600000.0,-3959837.6416563652,-3959854.8821346024
0.020875,49,1.0,1.0,113600000.00000001,-3959480.4432430053,-3959546.9886739086
0.021125,62,1.0,1.0,113600000.00000004,-3959714.9857450183,-3959711.2233596505
0.021375,65,1.0,1.0,113600000.00000003,-3959492.294576003,-3959447.7621504753
0.021625000000000002,69,1.0,1.0,113600000.00000006,-3959589.834810128,-3959600.7683022
0.021875000000000002,68,1.0,1.0,113600000.00000004,-3959626.0276292195,-3959560.2357029836
0.022125,75,1.0,1.0,113600000.00000004,-3959565.6218012646,-3959575.733352566
0.022375,86,1.0,0.9999999999999971,113599999.99999975,-3959664.176315423,-3959650.776101427
0.022625,76,1.0,0.9999999999999613,113599999.99999563,-3959427.5247783945,-3959441.648011815
0.022875,93,1.0,0.9999999999997209,113599999.9999685,-3959709.7968853866,-3959710.261221641
0.023125,83,1.0,0.9999999999987739,113599999.99986157,-3959459.403420744,-3959495.3571626884
0.023375,104,1.0,0.9999999999930734,113599999.99921794,-3959679.448405163,-3959727.7131146896
0.023625,96,1.0,0.9999999999599468,113599999.99547729,-3959377.377361517,-3959476.3533017575
