r,n,phi,eta,mu,srr_node,srr_face
0.000375,3,1.0,1.0,113600000.00000001,-3986536.567139496,-3986537.0180763914
0.000875,3,1.0,1.0,113600000.00000001,-3986537.5994328745,-3986537.713222678
0.0011250000000000001,6,1.0,1.0,113599999.99999997,-3986535.3922130335,-3986537.3253324246
0.001375,5,1.0,1.0,113599999.99999999,-3986532.0713545093,-3986535.272012369
0.0016250000000000001,8,1.0,1.0,113600000.0,-3986532.941091251,-3986536.757785518
0.001875,5,1.0,1.0,113599999.99999999,-3986542.5199022684,-3986542.64310579
0.002125,8,1.0,1.0,113600000.0,-3986529.2448601434,-3986534.093194124
0.002375,11,1.0,1.0,113599999.99999999,-3986530.2888905318,-3986535.5196191138
0.002625,6,1.0,1.0,113599999.99999997,-3986536.039964331,-3986552.699115652
0.002875,11,1.0,1.0,113599999.99999999,-3986536.3930060053,-3986858.923750853
0.003125,10,1.0,1.0,113599999.99999999,-3986892.9025889756,-3987053.2528613894
0.003375,9,1.0,1.0,113599999.99999999,-3986237.808254577,-3986422.1087396485
0.003625,7,1.0,1.0,113599999.99999997,-3986507.9378313,-3986511.6023834213
0.003875,9,1.0,1.0,113600000.00000001,-3986803.84955062,-3986761.487917354
0.004125,10,1.0,1.0,113599999.99999999,-3986352.77607846,-3986560.8727472383
0.004375,9,1.0,1.0,113599999.99999999,-3986584.1229497604,-3986502.994524555
0.004625,6,1.0,1.0,113599999.99999996,-3986661.966105113,-3986628.498105358
0.004875,14,1.0,1.0,113600000.00000003,-3986313.7407960044,-3986390.88384568
0.005125,9,1.0,1.0,113600000.00000001,-3986784.035989343,-3986700.5636166316
0.0053750000000000004,8,1.0,1.0,113599999.99999999,-3986552.3898455156,-3986874.5717715784
0.005625,10,1.0,1.0,113600000.0,-3986270.4229658497,-3986224.0972077143
0.005875,12,1.0,1.0,113600000.0,-3986727.985095796,-3986683.5291526425
0.006125,9,1.0,1.0,113599999.99999999,-3986132.8676608945,-3986213.1850879625
0.0063750000000000005,12,1.0,1.0,113600000.00000001,-3986517.0046363105,-3986494.0930657275
0.006625,9,1.0,1.0,113600000.00000001,-3986786.7592006647,-3986699.1564276055
0.006875,13,1.0,1.0,113600000.00000003,-3986322.621595854,-3986446.488350785
0.007125,9,1.0,1.0,113599999.99999999,-3986599.5434496677,-3986524.784328295
0.0073750000000000005,11,1.0,1.0,113600000.00000001,-3986732.474623825,-3986713.611259906
0.007625,13,1.0,1.0,113600000.00000003,-3986207.0452285362,-3986294.3935212023
0.007875,13,1.0,1.0,113600000.00000003,-3986715.66958199,-3986702.3836108386
0.008125,8,1.0,1.0,113600000.0,-3986171.8072205405,-3986424.098022773
0.008375,15,1.0,1.0,113599999.99999996,-3986406.7402953007,-3986387.993940074
0.008625,12,1.0,1.0,113600000.0,-3986695.388588196,-3986657.389479733
0.008875000000000001,15,1.0,1.0,113599999.99999996,-3986480.31166432,-3986609.176671519
0.009125,11,1.0,1.0,113600000.00000001,-3986445.435698986,-3986426.432933417
0.009375,10,1.0,1.0,113600000.0,-3986673.6242309683,-3986648.3338341294
0.009625,18,1.0,1.0,113600000.0,-3986409.7324700165,-3986510.1803125055
0.009875,13,1.0,1.0,113600000.00000003,-3986443.0834614397,-3986405.219813331
0.010125,10,1.0,1.0,113600000.00000001,-3986785.875919197,-3986786.2707344512
0.010375,18,1.0,1.0,113600000.0,-3986250.793854659,-3986338.2691834248
0.010625,13,1.0,1.0,113600000.00000003,-3986747.138515772,-3986735.2692278153
0.010875000000000001,13,1.0,1.0,113600000.00000003,-3986264.940399354,-3986432.3410220356
0.011125,15,1.0,1.0,113599999.99999996,-3986588.8075606986,-3986589.1657211324
0.011375,15,1.0,1.0,113599999.99999999,-3986505.178836517,-3986485.240438941
0.011625,17,1.0,1.0,113600000.0,-3986357.545637769,-3986484.217076904
0.011875,14,1.0,1.0,113599999.99999996,-3986488.6823944813,-3986473.5397212617
0.012125,12,1.0,1.0,113600000.00000001,-3986901.302565186,-3986901.722992818
0.012375,16,1.0,1.0,113600000.0,-3986170.5899517606,-3986292.823354315
0.012625,19,1.0,1.0,113599999.99999999,-3986688.6850404027,-3986689.377344166
0.012875000000000001,12,1.0,1.0,113599999.99999997,-3986512.819690992,-3986506.505794153
0.013125,20,1.0,1.0,113599999.99999999,-3986324.3969184994,-3986448.5190152344
0.013375,14,1.0,1.0,113600000.0,-3986392.3621167345,-3986380.35181015
0.013625,18,1.0,1.0,113600000.0,-3986639.2038338133,-3986823.045114899
0.013875,14,1.0,1.0,113599999.99999996,-3986140.253460047,-3986128.6835694867
0.014125,18,1.0,1.0,113600000.0,-3986836.880965563,-3986846.5205634655
0.014375,18,1.0,1.0,113600000.0,-3986224.928688361,-3986363.4401140194
0.014625,17,1.0,1.0,113600000.0,-3986692.889515307,-3986704.9156782385
0.014875000000000001,14,1.0,1.0,113599999.99999996,-3986343.6373488232,-3986340.4818742317
0.015125,23,1.0,1.0,113599999.99999997,-3986480.076079803,-3986604.4185449854
0.015375,16,1.0,1.0,113600000.0,-3986281.7216198537,-3986279.6250864174
0.015625,15,1.0,1.0,113599999.99999996,-3987014.867494168,-3987029.1593684643
0.015875,24,1.0,1.0,113600000.0,-3986220.8738778457,-3986334.212678968
0.016125,17,1.0,1.0,113600000.0,-3986752.1853470462,-3986765.391422831
0.016375,19,1.0,1.0,113599999.99999999,-3986280.4328548214,-3986479.2954315157
0.016625,23,1.0,1.0,113599999.99999997,-3986869.7204388953,-3987158.8624468916
0.016875,29,1.0,1.0,113599999.99999997,-3986388.9274329855,-3986528.333626649
0.017125,29,1.0,1.0,113599999.99999997,-3986485.352236715,-3986641.4410440656
0.017375,28,1.0,1.0,113599999.99999997,-3986579.7797506307,-3986706.3904841146
0.017625000000000002,28,1.0,1.0,113599999.99999996,-3986545.353650854,-3986606.647414393
0.017875000000000002,37,1.0,1.0,113599999.99999997,-3986594.645436993,-3986672.910037317
0.018125,35,1.0,1.0,113599999.99999997,-3986383.1747483322,-3986457.554639956
0.018375,29,1.0,1.0,113599999.99999997,-3986611.2025034497,-3986695.8189671794
0.018625,37,1.0,1.0,113599999.99999994,-3986402.206437314,-3986410.08137218
0.018875,41,1.0,1.0,113599999.99999997,-3986500.0611480637,-3986546.3303196193
0.019125,36,1.0,1.0,113599999.99999994,-3986391.938985749,-3986444.1261297236
0.019375,38,1.0,1.0,113599999.99999996,-3986817.480146124,-3986848.5613643816
0.019625,42,1.0,1.0,113599999.99999996,-3986057.9450504766,-3986086.2226513284
0.019875,51,1.0,1.0,113599999.99999994,-3986654.5499842013,-3986712.9997912096
0.020125,46,1.0,1.0,113599999.99999994,-3986323.762141766,-3986360.079891529
0.020375,46,1.0,1.0,113599999.99999994,-3986799.8103876365,-3986815.849531763
0.020625,57,1.0,1.0,113599999.99999999,-3986145.6493313233,-3986151.017451057
0.020875,57,1.0,1.0,113599999.99999997,-3986769.920222108,-3986790.6791110802
0.021125,50,1.0,1.0,113599999.99999997,-3986075.254966133,-3986056.9663423826
0.021375,59,1.0,1.0,113599999.99999996,-3986662.7217498138,-3986629.8160630832
0.021625000000000002,59,1.0,0.9999999999999979,113599999.9999997,-3986232.628502428,-3986226.5237828274
0.021875000000000002,70,1.0,0.9999999999999846,113599999.99999821,-3986662.788679252,-3986663.334654788
0.022125,57,1.0,0.9999999999999029,113599999.99998902,-3986324.9701209567,-3986261.1353861736
0.022375,67,1.0,0.9999999999996222,113599999.99995732,-3986656.46127848,-3986640.0758977444
0.022625,73,1.0,0.9999999999991316,113599999.9999019,-3986049.6252084365,-3986018.542785275
0.022875,71,1.0,0.9999999999939256,113599999.99931398,-3986592.6701706257,-3986574.030992542
0.023125,60,1.0,0.999999999986512,113599999.99847637,-3986298.609520408,-3986238.8023931775
0.023375,81,1.0,0.999999999899293,113599999.98862475,-3986607.2929378008,-3986647.758025712
0.023625,74,1.0,0.9999999998294237,113599999.9807276,-3985915.3565716962,-3985955.181254186
0.023875,79,1.0,0.9999999986489125,113599999.84736018,-3986577.81880377,-3986802.4098071074
0.024125,75,1.0,0.9999999967073577,113599999.62795621,-3985962.934008572,-3986210.09633412
0.024375,82,1.0,0.9999999853663888,113599998.34649733,-3985973.5457867268,-3986548.2042273507
0.024625,85,1.0,0.9999999526650809,113599994.65100133,-3985674.7818016685,-3986576.1700307783
0.024875,73,1.0,0.9999998106949479,113599978.60695702,-3985619.314933041,-3987058.574043655
0.025125,89,1.0,0.9999994447465338,113599937.24750079,-3984895.0131757343,-3986983.1761505883
0.025375,94,1.0,0.9999978997755509,113599762.62371866,-3984670.769933128,-3987817.7179339444
0.025625000000000002,79,1.0,0.9999940116973611,113599323.1162785,-3983863.1330881743,-3988213.015316987
0.025875000000000002,84,1.0,0.9999798315708865,113597720.06251127,-3984180.4768064395,-3990059.093595796
0.026125,95,1.0,0.9999496888207081,113594312.00103374,-3983261.807753446,-3991136.5260550636
0.026375,86,1.0,0.9998822420344479,113586685.47347358,-3981816.3501062514,-3994482.5765205026
0.026625,89,1.0,0.9997086877725418,113567060.65389635,-3978901.78556227,-4001297.9704758828
0.026875,92,1.0,0.9994283606896586,113535370.03768924,-3967831.742382349,-4018442.552718399
0.027125,91,1.0,0.998814181363631,113466027.22594932,-3928793.926846086,-4059126.0113056847
0.027375,96,1.0,0.9966069668655347,113217248.87760459,-3882513.9977917755,-4128908.882165457
0.027625,85,1.0,0.9893410834135151,112398070.6048325,-3854215.273193651,-4199729.70436377
0.027875,96,1.0,0.9707497746153886,110299850.76064228,-3838222.5332996994,-4210949.581706042
0.028125,103,1.0,0.9308594749095248,105794046.17622253,-3817404.2661034274,-4079690.267733986
0.028375,90,1.0,0.8737437056530396,99339497.55197458,-3727539.5238047,-3793916.1382635343
0.028625,91,1.0,0.8100212189048275,92136974.59515417,-3549019.8974167183,-3432511.258302551
0.028875,106,1.0,0.7179696273138467,81730662.45954259,-3229439.8304740093,-2921608.9465444554
0.029125,95,1.0,0.6122850652372138,69780743.8097535,-2754215.0360381585,-2392520.301913264
0.029375000000000002,100,1.0,0.5093731979157948,58141640.028279684,-2238298.856011041,-1933563.5250291398
0.029625000000000002,101,1.0,0.4067667679205729,46534526.15570963,-1732454.7066488382,-1513810.6521508698
0.029875000000000002,94,1.0,0.3158639771762056,36249036.608260855,-1297823.9043919744,-1169443.6899270532
0.030125,111,1.0,0.2403207085711344,27699726.434964556,-958034.1896138655,-888459.455330047
0.030375,94,1.0,0.18358592705173163,21278074.397767443,-709930.1919990983,-672754.4443571124
0.030625,101,1.0,0.14471553311814142,16878041.385469798,-539799.4264116376,-516606.6869013431
0.030875,114,1.0,0.11271916236631353,13256001.274209058,-399758.80550127395,-386331.8857962867
0.031125,101,1.0,0.09105267174452598,10803360.74983516,-304658.7651650718,-296398.85105856555
0.031375,101,1.0,0.0771666154953661,9231535.108526176,-243437.67208410308,-237023.21717307073
0.031625,114,1.0,0.06553349383104747,7914813.126695454,-191804.84758803062,-187340.54549657114
0.031875,109,1.0,0.056898070371115786,6937458.270533314,-153656.64655214906,-150620.49341627132
0.032125,106,1.0,0.050752047735927196,6241891.920760364,-126593.0129425608,-124427.48853988784
0.032375,105,1.0,0.04632044497140751,5740371.003279984,-107048.21648915282,-105172.29946743358
0.032625,112,1.0,0.04272760039428155,5333785.535567827,-91485.09456632592,-89954.51371978007
0.032875,115,1.0,0.040056967468906426,5031567.83754011,-80101.06928969226,-78758.24724815134
0.033125,104,1.0,0.0381519319019162,4815993.157947958,-72091.24105976272,-70803.98843411623
0.033375,115,1.0,0.03659986759183842,4640370.274576535,-65632.654537295,-64234.92446932296
0.033625,124,1.0,0.03469527597742457,4424875.631196945,-57847.674238678934,-56441.59925221438
0.033875,107,1.0,0.032398114468351745,4164980.5063543394,-48131.438796661256,-46951.61189796415
0.034125,106,1.0,0.029790621253402524,3869983.5999248386,-36649.61643963992,-35739.30294133655
0.034375,125,1.0,0.025761628604813028,3414172.094855049,-18744.413911200932,-18654.57723266278
0.034625,118,1.0,0.020324341058283645,2799045.197102537,6430.290401395197,4453.044267245368
0.034875,115,1.0,0.014280957179874534,2115370.84254287,34567.84386976095,30362.130875117164
0.035125,114,1.0,0.008723139910219191,1486662.5239350998,59327.15864484841,54701.42121766897
0.035375000000000004,125,1.0,0.003621896698850506,909647.8686972798,76789.99638205374,76196.360698563
0.035625000000000004,122,1.0,0.0009418515746561614,606523.8951773067,81876.04224775505,87552.53444361419
0.035875000000000004,113,1.0,0.00013618278285462156,515402.27531395777,85359.03453027795,90464.56138546931
0.036125,122,1.0,0.00010160283708948653,511491.28139933664,89589.50901566482,90154.66956824313
0.036375,127,1.0,9.999999999999999e-05,511309.9999999996,89483.06331240393,89508.33395970294
0.036625,118,1.0,9.999999999999999e-05,511309.99999999965,89005.56965208214,89018.08718970013
0.036875,121,1.0,9.999999999999998e-05,511309.99999999977,88501.85309288018,88515.62086507026
0.037125,128,1.0,9.999999999999998e-05,511309.9999999998,87975.44262243639,87975.27064830704
0.037375,129,1.0,9.999999999999999e-05,511309.9999999998,87445.83343901257,87450.82607968598
0.037625,130,1.0,9.999999999999998e-05,511309.9999999999,86931.50645617644,86937.45221139581
0.037875,115,1.0,9.999999999999998e-05,511309.9999999997,86498.98028336084,86498.82504918928
