r,n,phi,eta,mu,srr_node,srr_face
0.000875,1,1.0,1.0,113600000.0,-3980741.7840018994,-3980742.3146270607
0.0016250000000000001,2,1.0,1.0,113600000.0,-3980739.8493652116,-3980740.3769527506
0.001875,1,1.0,1.0,113600000.0,-3980755.5028895913,-3980756.0340416413
0.002125,4,1.0,1.0,113600000.0,-3980722.9414983517,-3980728.8223727895
0.002375,2,1.0,1.0,113600000.0,-3980758.145799208,-3980758.673458889
0.002875,3,1.0,1.0,113600000.00000001,-3980733.397928602,-3980733.9121073843
0.003125,2,1.0,1.0,113600000.0,-3980747.8304677275,-3980748.347909873
0.003375,6,1.0,1.0,113599999.99999997,-3980714.80740476,-3980737.194578662
0.003625,2,1.0,1.0,113600000.0,-3980727.3919163067,-3980727.8932363405
0.003875,3,1.0,1.0,113600000.00000001,-3980795.484710804,-3980796.0078311297
0.004125,4,1.0,1.0,113600000.0,-3980645.1232326245,-3980652.0172669017
0.004375,4,1.0,1.0,113600000.0,-3980766.311627784,-3980766.816955492
0.004625,2,1.0,1.0,113600000.0,-3980764.258802379,-3980764.759229108
0.004875,9,1.0,1.0,113599999.99999999,-3980698.6333990274,-3980727.169818202
0.005125,2,1.0,1.0,113600000.0,-3980735.131364678,-3980735.607706119
0.0053750000000000004,4,1.0,1.0,113600000.0,-3980723.349736642,-3980890.8067488964
0.005625,6,1.0,1.0,113599999.99999997,-3980668.565090101,-3980669.005473392
0.005875,5,1.0,1.0,113599999.99999999,-3980822.8547765254,-3980823.3534678924
0.006125,6,1.0,1.0,113599999.99999997,-3980605.1289851083,-3980654.6661217203
0.0063750000000000005,8,1.0,1.0,113600000.0,-3980765.663230218,-3980766.124280609
0.006625,2,1.0,1.0,113600000.0,-3980750.536958996,-3980750.981368916
0.006875,9,1.0,1.0,113599999.99999999,-3980645.3264789074,-3980700.9596944014
0.007125,4,1.0,1.0,113600000.0,-3980727.689099521,-3980728.112584656
0.0073750000000000005,6,1.0,1.0,113599999.99999997,-3980900.248970736,-3980900.746886276
0.007625,8,1.0,1.0,113600000.0,-3980518.320104035,-3980560.657093393
0.007875,7,1.0,1.0,113599999.99999997,-3980878.6369683594,-3980879.111770239
0.008125,4,1.0,1.0,113600000.0,-3980488.2491319715,-3980648.929943596
0.008375,12,1.0,1.0,113599999.99999997,-3980692.985044298,-3980693.352230632
0.008625,5,1.0,1.0,113599999.99999999,-3980833.201030697,-3980833.627170087
0.008875000000000001,10,1.0,1.0,113599999.99999999,-3980684.799429559,-3980791.543836155
0.009125,8,1.0,1.0,113600000.0,-3980703.8156957845,-3980704.1588057135
0.009375,4,1.0,1.0,113600000.0,-3980833.400290464,-3980833.8038605945
0.009625,13,1.0,1.0,113599999.99999997,-3980644.291801069,-3980727.72295843
0.009875,8,1.0,1.0,113600000.0,-3980676.116723026,-3980676.407544961
0.010125,6,1.0,1.0,113599999.99999997,-3980958.2037302265,-3980958.646170568
0.010375,14,1.0,1.0,113599999.99999997,-3980536.1766995415,-3980607.0880317744
0.010625,7,1.0,1.0,113599999.99999997,-3980954.5392718418,-3980954.9642764516
0.010875000000000001,8,1.0,1.0,113600000.0,-3980457.0062887087,-3980598.0234309332
0.011125,12,1.0,1.0,113599999.99999997,-3980805.442325857,-3980805.76345497
0.011375,8,1.0,1.0,113600000.0,-3980682.9801054355,-3980683.191648289
0.011625,13,1.0,1.0,113599999.99999997,-3980581.9967516945,-3980696.1591882682
0.011875,10,1.0,1.0,113599999.99999999,-3980713.3115965547,-3980713.522169911
0.012125,6,1.0,1.0,113599999.99999997,-3981154.0198086146,-3981154.5287006367
0.012375,12,1.0,1.0,113599999.99999997,-3980405.864891389,-3980512.045284896
0.012625,13,1.0,1.0,113599999.99999997,-3980905.2601400414,-3980905.5739103956
0.012875000000000001,8,1.0,1.0,113600000.0,-3980686.6606764267,-3980686.7653147266
0.013125,16,1.0,1.0,113600000.0,-3980548.375320451,-3980656.1165252826
0.013375,8,1.0,1.0,113600000.0,-3980592.844566758,-3980592.8703819523
0.013625,13,1.0,1.0,113599999.99999997,-3980825.8868553275,-3981028.098981831
0.013875,12,1.0,1.0,113599999.99999997,-3980389.496629812,-3980389.372804886
0.014125,10,1.0,1.0,113599999.99999999,-3981119.2927312274,-3981119.6608655783
0.014375,14,1.0,1.0,113599999.99999997,-3980426.6641036854,-3980558.097846922
0.014625,13,1.0,1.0,113599999.99999997,-3980892.9707109053,-3980893.1791799776
0.014875000000000001,8,1.0,1.0,113600000.0,-3980528.3934321324,-3980528.238164396
0.015125,20,1.0,1.0,113600000.00000003,-3980656.364383752,-3980778.0447188634
0.015375,10,1.0,1.0,113599999.99999999,-3980486.5835044165,-3980486.3520679167
0.015625,11,1.0,1.0,113599999.99999999,-3981280.984833372,-3981281.3646882162
0.015875,20,1.0,1.0,113600000.00000003,-3980416.194561803,-3980519.0352424965
0.016125,10,1.0,1.0,113599999.99999999,-3981051.7354285764,-3981051.887228962
0.016375,13,1.0,1.0,113599999.99999997,-3980315.0901126266,-3980478.8694393504
0.016625,18,1.0,1.0,113600000.00000001,-3980796.9497771035,-3980796.9693836053
0.016875,12,1.0,1.0,113599999.99999997,-3980793.1991538396,-3980793.062250988
0.017125,16,1.0,1.0,113600000.0,-3980533.330269787,-3980702.9113039416
0.017375,15,1.0,1.0,113599999.99999996,-3980673.2940756404,-3980673.17634712
0.017625000000000002,10,1.0,1.0,113599999.99999999,-3981161.379156244,-3981161.43439065
0.017875000000000002,22,1.0,1.0,113600000.00000003,-3980498.8122148127,-3980619.2847317792
0.018125,14,1.0,1.0,113599999.99999997,-3980748.4168013595,-3980748.1163437995
0.018375,15,1.0,1.0,113599999.99999996,-3980724.0298172594,-3980952.2954245606
0.018625,18,1.0,1.0,113600000.00000001,-3980383.7357841353,-3980383.4368268056
0.018875,14,1.0,1.0,113599999.99999997,-3981037.975869096,-3981037.8553079613
0.019125,16,1.0,1.0,113600000.0,-3980431.489553853,-3980610.055252423
0.019375,21,1.0,1.0,113600000.00000003,-3980744.9074338335,-3980744.6038098703
0.019625,10,1.0,1.0,113599999.99999999,-3980717.587788652,-3980716.9111695937
0.019875,24,1.0,1.0,113600000.00000001,-3980545.938581613,-3980674.8642789647
0.020125,14,1.0,1.0,113599999.99999997,-3980684.5518940305,-3980684.0652582953
0.020375,13,1.0,1.0,113599999.99999997,-3981318.9688953827,-3981318.814051518
0.020625,22,1.0,1.0,113600000.00000003,-3980180.303811924,-3980290.574024732
0.020875,18,1.0,1.0,113600000.00000001,-3981196.034539754,-3981195.7889809986
0.021125,12,1.0,1.0,113599999.99999997,-3980353.867924125,-3980621.7820451516
0.021375,23,1.0,1.0,113600000.00000003,-3980432.509133819,-3980388.844056755
0.021625000000000002,16,1.0,0.9999999999999983,113599999.99999982,-3980828.573202164,-3980701.9587207194
0.021875000000000002,28,1.0,0.9999999999999772,113599999.99999744,-3980654.398070501,-3980792.067332658
0.022125,25,1.0,0.999999999999819,113599999.99997957,-3980759.6253769654,-3980832.9371048436
0.022375,34,1.0,0.9999999999992613,113599999.99991658,-3980846.3978662496,-3980869.2146993447
0.022625,37,1.0,0.9999999999975367,113599999.99972185,-3980323.7467880505,-3980369.877015599
0.022875,40,1.0,0.9999999999895777,113599999.99882315,-3980616.065787157,-3980682.9774162825
0.023125,34,1.0,0.9999999999651834,113599999.99606849,-3980930.9756719824,-3980921.408359903
0.023375,53,1.0,0.9999999998871925,113599999.98726124,-3980513.7087313137,-3980668.628225612
0.023625,49,1.0,0.9999999996401764,113599999.9593522,-3980471.9527095496,-3980703.830176821
0.023875,58,1.0,0.9999999981699415,113599999.79329497,-3980695.129796962,-3981277.660403989
0.024125,56,1.0,0.9999999958476501,113599999.53087607,-3980204.0100509175,-3980644.7638093727
0.024375,62,1.0,0.9999999808313664,113599997.83425573,-3980267.9727943824,-3981218.2866403162
0.024625,69,1.0,0.999999943062673,113599993.56625074,-3979948.4305122597,-3981252.167436832
0.024875,65,1.0,0.9999997504671236,113599971.80198818,-3979949.3002790473,-3982115.866290984
0.025125,81,1.0,0.9999994794980921,113599941.17551786,-3978952.8974795314,-3981241.8023774773
0.025375,90,1.0,0.9999980086729808,113599774.93266912,-3978794.2623711433,-3981694.622300936
0.025625000000000002,78,1.0,0.9999943030184666,113599356.04932278,-3978168.217887809,-3982471.953941506
0.025875000000000002,84,1.0,0.9999812154821935,113597876.51247528,-3978271.302103179,-3984096.6801770753
0.026125,95,1.0,0.9999522882090912,113594605.88180104,-3977456.6596826706,-3985346.652024112
0.026375,86,1.0,0.9998891807030449,113587470.10011289,-3975963.176425947,-3988724.469916868
0.026625,89,1.0,0.999725620793035,113568975.56888579,-3972717.40782297,-3995409.3856052123
0.026875,92,1.0,0.9994457828797866,113537340.685056,-3961928.272820463,-4012843.526441932
0.027125,91,1.0,0.9988556736310977,113470722.66533585,-3923318.5805117474,-4053838.358914834
0.027375,96,1.0,0.9966355268788097,113220485.74746129,-3877214.362664861,-4123384.7912356425
0.027625,85,1.0,0.9893078181443501,112394319.04955041,-3848632.735692959,-4193979.474564052
0.027875,96,1.0,0.9706888832014824,110292974.37167926,-3832467.8558775294,-4205178.44547529
0.028125,103,1.0,0.9307866341212961,105785815.56024024,-3811080.9235018957,-4073424.7453178633
0.028375,90,1.0,0.8736574142673859,99329745.73757173,-3721399.6890597204,-3787778.547442687
0.028625,91,1.0,0.8099305587259653,92126730.13637708,-3542677.923229798,-3426219.1809860766
0.028875,106,1.0,0.7178860116208764,81721214.60605691,-3222984.63751008,-2915278.4927354977
0.029125,95,1.0,0.6121991665891188,69771036.66411133,-2747724.855471058,-2386296.377461639
0.029375000000000002,100,1.0,0.5092931978356326,58132598.34937844,-2231706.4822600847,-1927326.6592726836
0.029625000000000002,101,1.0,0.40670450926596113,46527488.65900965,-1725894.1982948133,-1507654.2467389943
0.029875000000000002,94,1.0,0.31581782983958256,36243819.202061586,-1291342.5596435152,-1163382.8890514814
0.030125,111,1.0,0.24029001889139126,27696256.11634525,-951603.6100987418,-882426.959590736
0.030375,94,1.0,0.18356851148779577,21276104.860707663,-703538.9767049341,-666726.8613413946
0.030625,101,1.0,0.14470935890109107,16877343.32005681,-533458.1465600902,-510595.697996543
0.030875,114,1.0,0.11271900535106662,13255983.773013966,-393467.8845022196,-380321.35143351834
0.031125,101,1.0,0.09105619376909171,10803759.438925827,-298393.92900112213,-290375.188084988
