axis,level,i,j,coordinate_m,x_m,y_m,phi_face,eta_face,eta_face_delta,saved_prr_pa,face_average_prr_pa,native_face_normal_pa
bottom,1,6,0,0.083246484375,0.004453515625,0.0877,0.12438725490196077,1.0,0.0,-573723.3276921954,-571694.0742164203,-573124.6175085456
bottom,1,7,0,0.082561328125,0.0051386718750000004,0.0877,0.1746170343137255,1.0,0.0,-577578.68728311,-574514.218410105,-575903.8193116642
bottom,1,8,0,0.081876171875,0.005823828125,0.0877,0.23933440563725494,1.0,0.0,-580948.6153209007,-577348.6976427187,-578793.5759737733
bottom,1,9,0,0.081191015625,0.0065089843750000004,0.0877,0.317413449754902,1.0,0.0,-584631.3979329866,-580279.8670924855,-581766.1582111979
bottom,1,10,0,0.080505859375,0.007194140625,0.0877,0.4078393075980392,1.0,0.0,-588959.9777551452,-583132.0334123576,-584497.9086135173
bottom,1,11,0,0.079820703125,0.007879296875,0.0877,0.5078125,1.0,0.0,-592801.8363009202,-585741.0957227369,-586984.2828319565
bottom,1,12,0,0.079135546875,0.008564453125,0.0877,0.6113051470588236,1.0,0.0,-596605.7834263174,-588240.149546996,-589496.0162620354
bottom,1,13,0,0.078450390625,0.009249609375,0.0877,0.710726868872549,1.0,0.0,-600269.446064631,-590798.641452485,-592101.2666429345
bottom,1,14,0,0.077765234375,0.009934765625,0.0877,0.7987745098039216,1.0,0.0,-603988.0271688721,-593363.1590678561,-594625.0514927779
bottom,1,15,0,0.077080078125,0.010619921875,0.0877,0.8706533394607844,1.0,0.0,-607995.6985995071,-595626.9488065826,-596628.8461203873
right,1,128,114,0.078450390625,0.0877,0.166150390625,0.8891276041666663,1.0,0.0,-639665.6824522745,-585990.6510716302,-584752.8559624219
right,1,128,115,0.07913554687500002,0.0877,0.16683554687500002,0.8204005821078422,1.0,0.0,-597784.1815227065,-583472.3259186987,-582191.7958749756
right,1,128,116,0.079820703125,0.0877,0.167520703125,0.7344247855392159,1.0,0.0,-592556.1027935622,-580990.846726815,-579789.8975786543
right,1,128,117,0.08050585937499999,0.0877,0.168205859375,0.6356924019607857,1.0,0.0,-588827.3210373815,-578692.0917005882,-577594.2858225221
right,1,128,118,0.081191015625,0.0877,0.168891015625,0.5304955575980383,1.0,0.0,-584669.8198240187,-576448.5364740097,-575302.7871254972
right,1,128,119,0.08187617187500001,0.0877,0.16957617187500001,0.4262708626541406,1.0,0.0,-581416.6389214697,-574039.0980203503,-572775.4089152035
right,1,128,120,0.082561328125,0.0877,0.170261328125,0.33140584908279647,1.0,0.0,-577909.5957646419,-571380.0970881418,-569984.78526108
right,1,128,121,0.08324648437499998,0.0877,0.17094648437499999,0.25040340049594223,1.0,0.0,-573209.318219845,-568366.8178260541,-566748.850391028
right,1,128,122,0.083931640625,0.0877,0.171631640625,0.1829158109777112,1.0,0.0,-568506.24977717,-565093.5995519026,-563438.3487127774
right,1,128,123,0.08461679687500001,0.0877,0.172316796875,0.1292987449496381,1.0,0.0,-565085.0106777202,-561971.1603473423,-560503.971981907
