axis,level,i,j,coordinate_m,x_m,y_m,phi_face,eta_face,eta_face_delta,saved_prr_pa,face_average_prr_pa,native_face_normal_pa
bottom,2,18,0,0.0813623046875,0.0063376953125,0.0877,0.2935891544117647,1.0,0.0,-567658.9370796883,-566472.0143006742,-566433.2711243895
bottom,2,19,0,0.0810197265625,0.0066802734375,0.0877,0.3352098651960784,1.0,0.0,-567188.9915423129,-566238.2753996784,-566043.2796749674
bottom,2,20,0,0.0806771484375,0.0070228515625,0.0877,0.3808976715686274,1.0,0.0,-567864.2388610505,-565727.719929843,-565412.1601847187
bottom,2,21,0,0.0803345703125,0.0073654296875,0.0877,0.43042279411764706,1.0,0.0,-566414.7290998558,-565019.7180316714,-564627.275878624
bottom,2,22,0,0.0799919921875,0.0077080078125,0.0877,0.4811887254901961,1.0,0.0,-565805.5824239514,-564202.2861167688,-563777.2963549137
bottom,2,23,0,0.0796494140625,0.0080505859375,0.0877,0.532766544117647,1.0,0.0,-565184.1248610571,-563356.5618221741,-562935.8272894346
bottom,2,24,0,0.0793068359375,0.0083931640625,0.0877,0.5854932598039215,1.0,0.0,-565425.5879562243,-562638.4661866969,-562341.1050839591
bottom,2,25,0,0.0789642578125,0.0087357421875,0.0877,0.6385110294117646,1.0,0.0,-564683.802350506,-562239.1507525174,-562137.1964210758
bottom,2,26,0,0.0786216796875,0.0090783203125,0.0877,0.6892769607843137,1.0,0.0,-564584.9689123664,-562351.4951577651,-562565.7938944544
bottom,2,27,0,0.0782791015625,0.0094208984375,0.0877,0.7380667892156862,1.0,0.0,-567293.5379679939,-563109.7502642879,-563653.7066341216
bottom,2,28,0,0.0779365234375,0.0097634765625,0.0877,0.7826516544117648,1.0,0.0,-565672.6562462748,-564650.3802260633,-565647.053818005
bottom,2,29,0,0.0775939453125,0.0101060546875,0.0877,0.8228783700980393,1.0,0.0,-572984.9628754003,-567218.8127055075,-568790.5715930101
bottom,2,30,0,0.0772513671875,0.0104486328125,0.0877,0.8590379901960785,1.0,0.0,-572961.835706974,-571139.9769326105,-573489.3822722109
bottom,2,31,0,0.0769087890625,0.0107912109375,0.0877,0.8908394607843138,1.0,0.0,-584408.0503229393,-576437.0036389721,-579384.6250057332
right,1,128,114,0.078450390625,0.0877,0.166150390625,0.8901041666666674,1.0,0.0,-704970.1985263154,-583208.1908356873,-582036.1608342163
right,1,128,115,0.07913554687500002,0.0877,0.16683554687500002,0.8227941176470577,1.0,0.0,-592004.3257539477,-580678.0773157337,-579319.993797251
right,1,128,116,0.079820703125,0.0877,0.167520703125,0.736672794117646,1.0,0.0,-589703.7107739524,-578216.3911487296,-577112.7885002082
right,1,128,117,0.08050585937499999,0.0877,0.168205859375,0.6366727941176484,1.0,0.0,-585481.6804282196,-575424.7256194861,-573736.662738764
right,1,128,118,0.081191015625,0.0877,0.168891015625,0.529917279411766,1.0,0.0,-581570.2169349934,-572898.0523970985,-572059.442055433
right,1,128,119,0.08187617187500001,0.0877,0.16957617187500001,0.4260569852941177,1.0,0.0,-579618.5471408393,-571537.0847671151,-571014.7274787971
right,1,128,120,0.082561328125,0.0877,0.170261328125,0.33163296568627454,1.0,0.0,-575722.8276442708,-569955.1933638921,-568895.6592489872
right,1,128,121,0.08324648437499998,0.0877,0.17094648437499999,0.24854473039215685,1.0,0.0,-572215.1289153587,-567778.9863395694,-566662.3134301517
right,1,128,122,0.083931640625,0.0877,0.171631640625,0.1799785539215673,1.0,0.0,-569565.4302816292,-565409.8057761168,-564157.2981220819
right,1,128,123,0.08461679687500001,0.0877,0.172316796875,0.1282628676470575,1.0,0.0,-565781.7936817263,-562421.9216305471,-560686.5451390125
