axis,level,i,j,coordinate_m,x_m,y_m,phi_face,eta_face,eta_face_delta,saved_prr_pa,face_average_prr_pa,native_face_normal_pa
bottom,2,12,0,0.0834177734375,0.0042822265625,0.0877,0.11112898284313724,1.0,0.0,-1075318.2277558828,-1075318.2277558828,-1133115.3725269828
bottom,2,13,0,0.0830751953125,0.0046248046875,0.0877,0.13335631127450978,1.0,0.0,-1186200.0198856601,-1186200.0198856601,-1239284.6672443375
bottom,2,14,0,0.0827326171875,0.0049673828125,0.0877,0.15798100490196082,1.0,0.0,-1296274.536350986,-1296274.536350986,-1353264.4054576345
bottom,2,15,0,0.0823900390625,0.0053099609375,0.0877,0.18630514705882356,1.0,0.0,-1413474.8727914868,-1413474.8727867855,-1473685.3401159365
bottom,2,16,0,0.0820474609375,0.0056525390625,0.0877,0.21935508578431373,1.0,0.0,-1526639.0713368906,-1526639.0713321893,-1579592.802548442
bottom,2,17,0,0.0817048828125,0.0059951171875,0.0877,0.25487898284313726,1.0,0.0,-1631266.652203694,-1631266.652203694,-1682940.501858946
bottom,2,18,0,0.0813623046875,0.0063376953125,0.0877,0.2935891544117647,1.0,0.0,-1731977.6797220195,-1731977.6797220195,-1781014.857585093
bottom,2,19,0,0.0810197265625,0.0066802734375,0.0877,0.3352098651960784,1.0,0.0,-1826050.0697857928,-1826050.0697857928,-1871085.2819864927
bottom,2,20,0,0.0806771484375,0.0070228515625,0.0877,0.3808976715686274,1.0,0.0,-1914444.92961965,-1914444.92961965,-1957804.577252807
bottom,2,21,0,0.0803345703125,0.0073654296875,0.0877,0.43042279411764706,1.0,0.0,-1998107.1730870302,-1998107.1730853817,-2038409.7689179564
bottom,2,22,0,0.0799919921875,0.0077080078125,0.0877,0.4811887254901961,1.0,0.0,-2074327.5728094876,-2074327.5728078391,-2110245.376697722
bottom,2,23,0,0.0796494140625,0.0080505859375,0.0877,0.532766544117647,1.0,0.0,-2143266.207849578,-2143266.207848223,-2176287.038998724
bottom,2,24,0,0.0793068359375,0.0083931640625,0.0877,0.5854932598039215,1.0,0.0,-2206711.5612646216,-2206711.561263266,-2237136.083527808
bottom,2,25,0,0.0789642578125,0.0087357421875,0.0877,0.6385110294117646,1.0,0.0,-2264982.238359317,-2264982.2383593167,-2292828.3931908254
bottom,2,26,0,0.0786216796875,0.0090783203125,0.0877,0.6892769607843137,1.0,0.0,-2317361.8396866657,-2317361.8396866657,-2341895.2861825055
bottom,2,27,0,0.0782791015625,0.0094208984375,0.0877,0.7380667892156862,1.0,0.0,-2365500.279305013,-2365500.279305013,-2389105.2724275202
bottom,2,28,0,0.0779365234375,0.0097634765625,0.0877,0.7826516544117648,1.0,0.0,-2410374.9650560925,-2410374.9650560925,-2431644.6576846647
bottom,2,29,0,0.0775939453125,0.0101060546875,0.0877,0.8228783700980393,1.0,0.0,-2450833.8997160867,-2450833.8997160867,-2470023.1417475087
bottom,2,30,0,0.0772513671875,0.0104486328125,0.0877,0.8590379901960785,1.0,0.0,-2493885.9728576816,-2493885.9728576816,-2517748.8039678545
bottom,2,31,0,0.0769087890625,0.0107912109375,0.0877,0.8908394607843138,1.0,0.0,-2544314.113371589,-2544314.113371589,-2570879.4227753244
right,1,128,114,0.078450390625,0.0877,0.166150390625,0.8901041666666674,1.0,0.0,-2696057.0823703078,-2696057.0823703078,-2671631.00662916
right,1,128,115,0.07913554687500002,0.0877,0.16683554687500002,0.8227941176470577,1.0,0.0,-2636287.6950600827,-2636287.6950600827,-2600944.383491005
right,1,128,116,0.079820703125,0.0877,0.167520703125,0.736672794117646,1.0,0.0,-2548484.5239284355,-2548484.5239284355,-2496024.664365866
right,1,128,117,0.08050585937499999,0.0877,0.168205859375,0.6366727941176484,1.0,0.0,-2421941.031796672,-2421941.031797728,-2347857.39922959
right,1,128,118,0.081191015625,0.0877,0.168891015625,0.529917279411766,1.0,0.0,-2257138.208196652,-2257138.2081963457,-2166419.0171631016
right,1,128,119,0.08187617187500001,0.0877,0.16957617187500001,0.4260569852941177,1.0,0.0,-2061257.4864638122,-2061257.4864641111,-1956095.9557651207
right,1,128,120,0.082561328125,0.0877,0.170261328125,0.33163296568627454,1.0,0.0,-1838729.6004546443,-1838729.6004582383,-1721363.2451513559
right,1,128,121,0.08324648437499998,0.0877,0.17094648437499999,0.24854473039215685,1.0,0.0,-1591364.3595246729,-1591364.3595266053,-1461365.4739018548
right,1,128,122,0.083931640625,0.0877,0.171631640625,0.1799785539215673,1.0,0.0,-1318985.1565508004,-1318985.1565508004,-1176604.839199746
right,1,128,123,0.08461679687500001,0.0877,0.172316796875,0.1282628676470575,1.0,0.0,-1031746.6065163827,-1031746.6065163827,-886888.3738330193
