axis,level,i,j,coordinate_m,x_m,y_m,phi_face,eta_face,eta_face_delta,saved_prr_pa,face_average_prr_pa,native_face_normal_pa
bottom,2,12,0,0.0834177734375,0.0042822265625,0.0877,0.11112898284313724,1.0,0.0,-1075235.1879954105,-1075235.1879954087,-1133029.1346458718
bottom,2,13,0,0.0830751953125,0.0046248046875,0.0877,0.13335631127450978,1.0,0.0,-1186111.256644845,-1186111.2566448431,-1239193.3786438145
bottom,2,14,0,0.0827326171875,0.0049673828125,0.0877,0.15798100490196082,1.0,0.0,-1296180.780139898,-1296180.780139898,-1353168.1816359814
bottom,2,15,0,0.0823900390625,0.0053099609375,0.0877,0.18630514705882356,1.0,0.0,-1413376.2366285492,-1413376.2366285492,-1473584.291621117
bottom,2,16,0,0.0820474609375,0.0056525390625,0.0877,0.21935508578431373,1.0,0.0,-1526536.1430395618,-1526536.1430395627,-1579487.9944580086
bottom,2,17,0,0.0817048828125,0.0059951171875,0.0877,0.25487898284313726,1.0,0.0,-1631160.1733720358,-1631160.1733720368,-1682832.352286065
bottom,2,18,0,0.0813623046875,0.0063376953125,0.0877,0.2935891544117647,1.0,0.0,-1731868.0505571887,-1731868.0505571887,-1780903.7488283124
bottom,2,19,0,0.0810197265625,0.0066802734375,0.0877,0.3352098651960784,1.0,0.0,-1825937.7130375942,-1825937.7130375942,-1870971.677246876
bottom,2,20,0,0.0806771484375,0.0070228515625,0.0877,0.3808976715686274,1.0,0.0,-1914330.2536258711,-1914330.2536240802,-1957688.8300012844
bottom,2,21,0,0.0803345703125,0.0073654296875,0.0877,0.43042279411764706,1.0,0.0,-1997990.5403250684,-1997990.5403232775,-2038292.2506452706
bottom,2,22,0,0.0799919921875,0.0077080078125,0.0877,0.4811887254901961,1.0,0.0,-2074209.3550318163,-2074209.3550333194,-2110126.4594213683
bottom,2,23,0,0.0796494140625,0.0080505859375,0.0877,0.532766544117647,1.0,0.0,-2143146.7517368663,-2143146.7517370144,-2176167.0440526605
bottom,2,24,0,0.0793068359375,0.0083931640625,0.0877,0.5854932598039215,1.0,0.0,-2206591.1461242754,-2206591.1461229203,-2237015.24819318
bottom,2,25,0,0.0789642578125,0.0087357421875,0.0877,0.6385110294117646,1.0,0.0,-2264861.0650979932,-2264861.0650979932,-2292706.8820028068
bottom,2,26,0,0.0786216796875,0.0090783203125,0.0877,0.6892769607843137,1.0,0.0,-2317240.0153370705,-2317240.0153370705,-2341773.1486713346
bottom,2,27,0,0.0782791015625,0.0094208984375,0.0877,0.7380667892156862,1.0,0.0,-2365377.8536017365,-2365377.8536017365,-2388982.5585321384
bottom,2,28,0,0.0779365234375,0.0097634765625,0.0877,0.7826516544117648,1.0,0.0,-2410251.9111181586,-2410251.9111181586,-2431521.263704179
bottom,2,29,0,0.0775939453125,0.0101060546875,0.0877,0.8228783700980393,1.0,0.0,-2450710.058309661,-2450710.058309661,-2469898.8529151436
bottom,2,30,0,0.0772513671875,0.0104486328125,0.0877,0.8590379901960785,1.0,0.0,-2493761.205997987,-2493761.205997987,-2517623.559080831
bottom,2,31,0,0.0769087890625,0.0107912109375,0.0877,0.8908394607843138,1.0,0.0,-2544188.336414112,-2544188.336414112,-2570753.1137473923
right,1,128,114,0.078450390625,0.0877,0.166150390625,0.8901041666666674,1.0,0.0,-2695937.433116298,-2695937.433116298,-2671512.962107115
right,1,128,115,0.07913554687500002,0.0877,0.16683554687500002,0.8227941176470577,1.0,0.0,-2636172.1285041403,-2636172.1285041403,-2600831.294901166
right,1,128,116,0.079820703125,0.0877,0.167520703125,0.736672794117646,1.0,0.0,-2548375.317766474,-2548375.3177657053,-2495919.3406302445
right,1,128,117,0.08050585937499999,0.0877,0.168205859375,0.6366727941176484,1.0,0.0,-2421841.0639758073,-2421841.0639750385,-2347762.7873198325
right,1,128,118,0.081191015625,0.0877,0.168891015625,0.529917279411766,1.0,0.0,-2257050.098001429,-2257050.098001429,-2166337.4086830253
right,1,128,119,0.08187617187500001,0.0877,0.16957617187500001,0.4260569852941177,1.0,0.0,-2061183.145229652,-2061183.145229652,-1956028.8817762788
right,1,128,120,0.082561328125,0.0877,0.170261328125,0.33163296568627454,1.0,0.0,-1838670.1610633014,-1838670.1610652339,-1721311.440354189
right,1,128,121,0.08324648437499998,0.0877,0.17094648437499999,0.24854473039215685,1.0,0.0,-1591320.422615923,-1591320.4226178555,-1461329.404881522
right,1,128,122,0.083931640625,0.0877,0.171631640625,0.1799785539215673,1.0,0.0,-1318957.0005150633,-1318957.0005150633,-1176584.5961486045
right,1,128,123,0.08461679687500001,0.0877,0.172316796875,0.1282628676470575,1.0,0.0,-1031733.7766364571,-1031733.7766364571,-886882.9571243096
