axis,level,i,j,coordinate_m,x_m,y_m,phi_face,eta_face,eta_face_delta,saved_prr_pa,face_average_prr_pa,native_face_normal_pa
bottom,2,12,0,0.0834177734375,0.0042822265625,0.0877,0.11112898284313724,1.0,0.0,-1075335.7975807218,-1075335.7975807218,-1133132.6726115402
bottom,2,13,0,0.0830751953125,0.0046248046875,0.0877,0.13335631127450978,1.0,0.0,-1186217.16619898,-1186217.16619898,-1239301.65978642
bottom,2,14,0,0.0827326171875,0.0049673828125,0.0877,0.15798100490196082,1.0,0.0,-1296291.3443700336,-1296291.3443700336,-1353281.0289536472
bottom,2,15,0,0.0823900390625,0.0053099609375,0.0877,0.18630514705882356,1.0,0.0,-1413491.3097729469,-1413491.3097705962,-1473701.5905875452
bottom,2,16,0,0.0820474609375,0.0056525390625,0.0877,0.21935508578431373,1.0,0.0,-1526655.1604503654,-1526655.1604480147,-1579608.7303084843
bottom,2,17,0,0.0817048828125,0.0059951171875,0.0877,0.25487898284313726,1.0,0.0,-1631282.3791018985,-1631282.3791018995,-1682956.0278953146
bottom,2,18,0,0.0813623046875,0.0063376953125,0.0877,0.2935891544117647,1.0,0.0,-1731992.9747323077,-1731992.9747323086,-1781029.9215693027
bottom,2,19,0,0.0810197265625,0.0066802734375,0.0877,0.3352098651960784,1.0,0.0,-1826064.8870977317,-1826064.8870977317,-1871099.8526261607
bottom,2,20,0,0.0806771484375,0.0070228515625,0.0877,0.3808976715686274,1.0,0.0,-1914459.2046909519,-1914459.204689161,-1957818.5567521611
bottom,2,21,0,0.0803345703125,0.0073654296875,0.0877,0.43042279411764706,1.0,0.0,-1998120.833080436,-1998120.8330802936,-2038423.109408426
bottom,2,22,0,0.0799919921875,0.0077080078125,0.0877,0.4811887254901961,1.0,0.0,-2074340.6015815055,-2074340.601583154,-2110258.093757882
bottom,2,23,0,0.0796494140625,0.0080505859375,0.0877,0.532766544117647,1.0,0.0,-2143278.6013952456,-2143278.6013952456,-2176299.1090326095
bottom,2,24,0,0.0793068359375,0.0083931640625,0.0877,0.5854932598039215,1.0,0.0,-2206723.310158303,-2206723.310158303,-2237147.5112839965
bottom,2,25,0,0.0789642578125,0.0087357421875,0.0877,0.6385110294117646,1.0,0.0,-2264993.3623422924,-2264993.3623422924,-2292839.213400589
bottom,2,26,0,0.0786216796875,0.0090783203125,0.0877,0.6892769607843137,1.0,0.0,-2317372.4141370193,-2317372.4141370193,-2341905.61487345
bottom,2,27,0,0.0782791015625,0.0094208984375,0.0877,0.7380667892156862,1.0,0.0,-2365510.373062092,-2365510.373062092,-2389115.1312507335
bottom,2,28,0,0.0779365234375,0.0097634765625,0.0877,0.7826516544117648,1.0,0.0,-2410384.6582671627,-2410384.6582671627,-2431654.185283592
bottom,2,29,0,0.0775939453125,0.0101060546875,0.0877,0.8228783700980393,1.0,0.0,-2450843.3504393483,-2450843.3504388267,-2470032.515594062
bottom,2,30,0,0.0772513671875,0.0104486328125,0.0877,0.8590379901960785,1.0,0.0,-2493895.2045358294,-2493895.20453489,-2517757.893475719
bottom,2,31,0,0.0769087890625,0.0107912109375,0.0877,0.8908394607843138,1.0,0.0,-2544323.0360145937,-2544323.036014176,-2570888.178552633
right,1,128,114,0.078450390625,0.0877,0.166150390625,0.8901041666666674,1.0,0.0,-2696053.050148553,-2696053.0501484037,-2671627.1895318604
right,1,128,115,0.07913554687500002,0.0877,0.16683554687500002,0.8227941176470577,1.0,0.0,-2636284.431612215,-2636284.431612215,-2600941.6736925696
right,1,128,116,0.079820703125,0.0877,0.167520703125,0.736672794117646,1.0,0.0,-2548482.8965978734,-2548482.8965978734,-2496024.119503177
right,1,128,117,0.08050585937499999,0.0877,0.168205859375,0.6366727941176484,1.0,0.0,-2421942.0133725875,-2421942.0133725875,-2347859.9072419982
right,1,128,118,0.081191015625,0.0877,0.168891015625,0.529917279411766,1.0,0.0,-2257142.6019204245,-2257142.6019204245,-2166425.2965988507
right,1,128,119,0.08187617187500001,0.0877,0.16957617187500001,0.4260569852941177,1.0,0.0,-2061265.7841685978,-2061265.7841685978,-1956106.2717383448
right,1,128,120,0.082561328125,0.0877,0.170261328125,0.33163296568627454,1.0,0.0,-1838741.835478819,-1838741.835478819,-1721377.3992192931
right,1,128,121,0.08324648437499998,0.0877,0.17094648437499999,0.24854473039215685,1.0,0.0,-1591380.2479029493,-1591380.2479029493,-1461383.0965866055
right,1,128,122,0.083931640625,0.0877,0.171631640625,0.1799785539215673,1.0,0.0,-1319004.216275514,-1319004.216275514,-1176625.3359644227
right,1,128,123,0.08461679687500001,0.0877,0.172316796875,0.1282628676470575,1.0,0.0,-1031768.1396896141,-1031768.1396896141,-886910.9434148055
