kernel,launches,total_ms,pct_of_kernel_time,avg_us,block_x
"void amrex::launch_global<(int)128, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)128, Operator::Elastic<(int)1>::Fapply(int, int, amrex::MultiFab &, const amrex::MultiFab &) const::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",11808,323.653,76.723,27.41,128
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, Operator::Operator<(Grid)1>::Fsmooth(int, int, amrex::MultiFab &, const amrex::MultiFab &) const::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",10496,60.991,14.458,5.81,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, <unnamed>::ResizeRandomSeed(unsigned long)::[lambda(int) (instance 1)], void>(const amrex::Gpu::KernelInfo &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",1,4.801,1.138,4800.57,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Solver::Nonlocal::Newton<Model::Solid::Finite::NeoHookeanPredeformed>::prepareForSolve(const Set::Field<Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>> &, const Set::Field<Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>> &, Set::Field<double> &, Set::Field<Eigen::Matrix<double, (int)2, (int)2, (int)0, (int)2, (int)2>> &, Set::Field<Set::Matrix4<(int)2, (int)1>> &, Set::Field<Model::Solid::Finite::NeoHookeanPredeformed> &)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",15,3.028,0.718,201.88,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::FabArray<amrex::FArrayBox>::Xpay<amrex::FArrayBox, (int)0>(amrex::FabArray<amrex::FArrayBox>&, double, const amrex::FabArray<amrex::FArrayBox>&, int, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",1312,2.95,0.699,2.25,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::FabArray<amrex::FArrayBox>::setVal<amrex::FArrayBox, (int)0>(double, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",2179,2.673,0.634,1.23,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Solver::Nonlocal::Newton<Model::Solid::Finite::NeoHookeanPredeformed>::prepareForSolve(const Set::Field<Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>> &, const Set::Field<Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>> &, Set::Field<double> &, Set::Field<Eigen::Matrix<double, (int)2, (int)2, (int)0, (int)2, (int)2>> &, Set::Field<Set::Matrix4<(int)2, (int)1>> &, Set::Field<Model::Solid::Finite::NeoHookeanPredeformed> &)::[lambda(int, int, int) (instance 2)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",15,2.624,0.622,174.94,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::Add<amrex::FArrayBox, void>(amrex::FabArray<T1> &, const amrex::FabArray<T1> &, int, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",902,2.308,0.547,2.56,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, Operator::Operator<(Grid)1>::interpolationAmr(int, amrex::MultiFab &, const amrex::MultiFab &, const amrex::IntVectND<(int)2> &) const::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",164,1.794,0.425,10.94,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::FabArray<amrex::FArrayBox>::ParallelCopy_nowait(const amrex::FabArray<amrex::FArrayBox>&, int, int, int, const amrex::IntVectND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::Periodicity &, amrex::FabArrayBase::CpOp, const amrex::FabArrayBase::CPC *, bool, bool)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",922,1.522,0.361,1.65,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Operator::Operator<(Grid)1>::restriction(int, int, amrex::MultiFab &, amrex::MultiFab &) const::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",492,1.303,0.309,2.65,256
