path,disposition,pattern_ids
.claude/agents/refactor-worker.md,evidence-only,
.github/ISSUE_TEMPLATE/help-request.md,evidence-only,
AGENTS.md,evidence-only,
CLAUDE.md,evidence-only,
analysis/README.md,evidence-only,
benchmark/ALPHA1_BASELINE.md,evidence-only,
benchmark/GPU_BRANCH_GUIDE.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
benchmark/GPU_TEST_PERF_TRACKING.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
benchmark/LOCAL_A100_SPOOFING.md,evidence-only,
benchmark/MLMG_HIGH_CONTRAST_FINDINGS.md,evidence-only,GPU-007;GPU-012;GPU-013
benchmark/NOVA_SLURM_RUNBOOK.md,evidence-only,
benchmark/PERF_TRACKING.md,evidence-only,
benchmark/README.md,evidence-only,
benchmark/archive/G0_BASELINE_OF_RECORD.md,evidence-only,
benchmark/archive/GPU_ROADMAP_V2.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
benchmark/archive/GPU_TEST_SUITE_FIXES.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
benchmark/archive/PHASE1_ELASTIC_DISPOSITION.md,evidence-only,GPU-007;GPU-012;GPU-013
benchmark/archive/PHASE3_3D_READINESS.md,evidence-only,
benchmark/archive/PHASE3_NOVA_TESTING_PROGRESS.md,evidence-only,
benchmark/archive/PHASE3_R3_crossover.md,evidence-only,
benchmark/archive/PHASE4_R4_dispatch.md,evidence-only,
benchmark/archive/PHASE5_BRANCH_DONE.md,evidence-only,
benchmark/archive/PHASE_A_FINDINGS.md,evidence-only,
benchmark/archive/PHASE_C0_input_ab.md,evidence-only,
benchmark/archive/README.md,evidence-only,
benchmark/archive/elastic_sensitivity_20260621/GPU_ELASTIC_DEBUG_PLAN.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011;GPU-007;GPU-012;GPU-013
benchmark/archive/elastic_sensitivity_20260621/REPORT.md,evidence-only,GPU-007;GPU-012;GPU-013
benchmark/archive/elastic_sensitivity_20260621/coarsening_sweep.md,evidence-only,GPU-007;GPU-012;GPU-013
benchmark/archive/elastic_sensitivity_20260621/fix_notes.md,evidence-only,GPU-007;GPU-012;GPU-013
benchmark/archive/elixir_race_audit.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
benchmark/archive/phase2_box_sweep/README.md,evidence-only,
benchmark/mlmg_high_contrast_20260702/NEGATIVE_RESULTS.md,evidence-only,GPU-007;GPU-012;GPU-013
benchmark/mlmg_high_contrast_20260702/NR_PSI_CONVERGENCE.md,evidence-only,GPU-007;GPU-012;GPU-013
benchmark/mlmg_high_contrast_20260702/README.md,evidence-only,GPU-007;GPU-012;GPU-013
benchmark/mlmg_high_contrast_20260702/RESYNC_COEFFS.md,evidence-only,GPU-007;GPU-012;GPU-013
benchmark/mlmg_high_contrast_20260702/SETTINGS.md,evidence-only,GPU-007;GPU-012;GPU-013
benchmark/validate/README.md,evidence-only,
benchmark/validate/physics_budget.md,evidence-only,
docs/agent_plans/20260620-gpu-phase1-and-lever25/INTEGRATION.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260620-gpu-phase1-and-lever25/PLAN.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260620-gpu-phase1-and-lever25/results/A-RESULT.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260620-gpu-phase1-and-lever25/results/B-RESULT.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260620-gpu-phase1-and-lever25/results/RESULT.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260620-gpu-phase1-and-lever25/tasks/A-lever25-field-packing.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260620-gpu-phase1-and-lever25/tasks/B-phase1-elastic-disposition.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011;GPU-007;GPU-012;GPU-013
docs/agent_plans/20260620-gpu-phase3-regime-scaling/INTEGRATION.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260620-gpu-phase3-regime-scaling/PLAN.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260620-gpu-phase3-regime-scaling/TEST_CASES.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
docs/agent_plans/20260620-gpu-phase3-regime-scaling/results/001-RESULT.md,evidence-only,GPU-001;GPU-006;GPU-008;GPU-009;GPU-010;GPU-011
