hunk_id,file,classification,num_tag
src/BC/BC.H:135-145,src/BC/BC.H,GPU-001,no
src/BC/BC.cpp:30-36,src/BC/BC.cpp,GPU-001,no
src/BC/BC.cpp:38-62,src/BC/BC.cpp,GPU-001,no
src/BC/Constant.cpp:1-4,src/BC/Constant.cpp,GPU-008,no
src/BC/Constant.cpp:65-173,src/BC/Constant.cpp,GPU-006,no
src/BC/Operator/Elastic/Constant.H:18-27,src/BC/Operator/Elastic/Constant.H,GPU-011,no
src/BC/Operator/Elastic/Constant.H:105-116,src/BC/Operator/Elastic/Constant.H,GPU-008,no
src/BC/Operator/Elastic/Constant.H:161-181,src/BC/Operator/Elastic/Constant.H,GPU-004,no
src/BC/Operator/Elastic/Constant.H:183-192,src/BC/Operator/Elastic/Constant.H,GPU-004,no
src/BC/Operator/Elastic/Constant.H:202-214,src/BC/Operator/Elastic/Constant.H,GPU-008,no
src/BC/Operator/Elastic/Constant.H:259-438,src/BC/Operator/Elastic/Constant.H,GPU-004,no
src/BC/Operator/Elastic/Elastic.H:23-33,src/BC/Operator/Elastic/Elastic.H,NOISE,no
src/BC/Operator/Elastic/Elastic.H:43-51,src/BC/Operator/Elastic/Elastic.H,GPU-008,no
src/BC/Operator/Elastic/Elastic.H:79-98,src/BC/Operator/Elastic/Elastic.H,GPU-004,no
src/BC/Operator/Elastic/Expression.H:6-11,src/BC/Operator/Elastic/Expression.H,ONEOFF,no
src/BC/Operator/Elastic/Expression.H:58-63,src/BC/Operator/Elastic/Expression.H,GPU-010,no
src/BC/Operator/Elastic/Expression.H:67-73,src/BC/Operator/Elastic/Expression.H,GPU-010,no
src/BC/Operator/Elastic/Expression.H:146-151,src/BC/Operator/Elastic/Expression.H,GPU-010,no
src/BC/Operator/Elastic/Expression.H:155-161,src/BC/Operator/Elastic/Expression.H,GPU-010,no
src/BC/Operator/Elastic/Expression.H:230-384,src/BC/Operator/Elastic/Expression.H,GPU-004,no
src/BC/Operator/Elastic/TensionTest.H:39-46,src/BC/Operator/Elastic/TensionTest.H,GPU-004,no
