hunk_id,file,classification,candidate_key,candidate_name,summary
src/BC/BC.H:135-145,src/BC/BC.H,CANDIDATE,BC_HOST_DEVICE_ANNOTATION,Annotate BC utility predicates for host/device,Annotate BC utility predicates for host/device
src/BC/BC.cpp:30-36,src/BC/BC.cpp,CANDIDATE,BC_HOST_DEVICE_ANNOTATION,Annotate BC utility predicates for host/device,Annotate BC utility predicates for host/device
src/BC/BC.cpp:38-62,src/BC/BC.cpp,CANDIDATE,BC_HOST_DEVICE_ANNOTATION,Annotate BC utility predicates for host/device,Annotate BC utility predicates for host/device
src/BC/Constant.cpp:1-4,src/BC/Constant.cpp,ONEOFF,,Unique compile/interface/behavior change,Unique compile/interface/behavior change
src/BC/Constant.cpp:65-173,src/BC/Constant.cpp,CANDIDATE,BC_DEVICE_CAPTURE,Hoist BC state/scalars before the device lambda,Hoist BC state/scalars before the device lambda
src/BC/Operator/Elastic/Constant.H:18-27,src/BC/Operator/Elastic/Constant.H,CANDIDATE,BC_LOOP_DISPATCH,Select GPU ParallelFor versus CPU loop,Select GPU ParallelFor versus CPU loop
src/BC/Operator/Elastic/Constant.H:105-116,src/BC/Operator/Elastic/Constant.H,CANDIDATE,BC_DEVICE_STATE,Copy BC state into device arrays,Copy BC state into device arrays
src/BC/Operator/Elastic/Constant.H:161-181,src/BC/Operator/Elastic/Constant.H,CANDIDATE,BC_STATIC_DISPATCH,Use device-safe periodic/type accessors,Use device-safe periodic/type accessors
src/BC/Operator/Elastic/Constant.H:183-192,src/BC/Operator/Elastic/Constant.H,CANDIDATE,BC_STATIC_DISPATCH,Use device-safe periodic/type accessors,Use device-safe periodic/type accessors
src/BC/Operator/Elastic/Constant.H:202-214,src/BC/Operator/Elastic/Constant.H,CANDIDATE,BC_DEVICE_STATE,Copy BC state into device arrays,Copy BC state into device arrays
src/BC/Operator/Elastic/Constant.H:259-438,src/BC/Operator/Elastic/Constant.H,CANDIDATE,BC_STATIC_DISPATCH,Use device-safe periodic/type accessors,Use device-safe periodic/type accessors
src/BC/Operator/Elastic/Elastic.H:23-33,src/BC/Operator/Elastic/Elastic.H,NOISE,,Comment-only or formatting cleanup,Comment-only or formatting cleanup
src/BC/Operator/Elastic/Elastic.H:43-51,src/BC/Operator/Elastic/Elastic.H,CANDIDATE,BC_DEVICE_STATE,Make BC face layout device-sized,Make BC face layout device-sized
src/BC/Operator/Elastic/Elastic.H:79-98,src/BC/Operator/Elastic/Elastic.H,CANDIDATE,BC_STATIC_DISPATCH,Use device-callable BC evaluation,Use device-callable BC evaluation
src/BC/Operator/Elastic/Expression.H:6-11,src/BC/Operator/Elastic/Expression.H,ONEOFF,,Unique compile/interface/behavior change,Unique compile/interface/behavior change
src/BC/Operator/Elastic/Expression.H:58-63,src/BC/Operator/Elastic/Expression.H,CANDIDATE,HOST_LOOP_GUARD,Guard unsupported host-only BC path,Guard unsupported host-only BC path
