hunk_id,file,retired_pattern
src/Numeric/Stencil.H:785-821#1,src/Numeric/Stencil.H,NUM-001
src/Operator/Elastic.H:55-60,src/Operator/Elastic.H,NUM-001
src/Operator/Elastic.H:122-127,src/Operator/Elastic.H,NUM-002
src/Operator/Elastic.cpp:45-51,src/Operator/Elastic.cpp,NUM-003
src/Operator/Elastic.cpp:63-83,src/Operator/Elastic.cpp,NUM-003
src/Operator/Elastic.cpp:95-103,src/Operator/Elastic.cpp,NUM-003
src/Operator/Elastic.cpp:107-113,src/Operator/Elastic.cpp,NUM-003
src/Operator/Elastic.cpp:173-264#8,src/Operator/Elastic.cpp,NUM-001
src/Operator/Elastic.cpp:299-315#3,src/Operator/Elastic.cpp,NUM-002
src/Operator/Elastic.cpp:352-377#4,src/Operator/Elastic.cpp,NUM-001
src/Operator/Elastic.cpp:623-628,src/Operator/Elastic.cpp,NUM-003
src/Operator/Elastic.cpp:633-642,src/Operator/Elastic.cpp,NUM-003
src/Operator/Elastic.cpp:663-684,src/Operator/Elastic.cpp,NUM-003
src/Operator/Elastic.cpp:758-763,src/Operator/Elastic.cpp,NUM-003
src/Operator/Elastic.cpp:765-838,src/Operator/Elastic.cpp,NUM-003
src/Operator/Operator.cpp:93-99,src/Operator/Operator.cpp,NUM-002
src/Operator/Operator.cpp:116-150#2,src/Operator/Operator.cpp,NUM-002
src/Operator/Operator.cpp:158-164,src/Operator/Operator.cpp,NUM-002
src/Operator/Operator.cpp:220-228,src/Operator/Operator.cpp,NUM-002
src/Operator/Operator.cpp:289-299,src/Operator/Operator.cpp,NUM-003
src/Operator/Operator.cpp:349-354,src/Operator/Operator.cpp,NUM-003
src/Operator/Operator.cpp:394-405,src/Operator/Operator.cpp,NUM-003
src/Operator/Operator.cpp:460-467,src/Operator/Operator.cpp,NUM-002
src/Operator/Operator.cpp:548-553,src/Operator/Operator.cpp,NUM-002
src/Set/Set.H:206-211,src/Set/Set.H,NUM-003
src/Solver/Nonlocal/Newton.H:31-43,src/Solver/Nonlocal/Newton.H,NUM-001
src/Solver/Nonlocal/Newton.H:48-54,src/Solver/Nonlocal/Newton.H,NUM-001
src/Solver/Nonlocal/Newton.H:148-163,src/Solver/Nonlocal/Newton.H,NUM-001
src/Solver/Nonlocal/Newton.H:177-188#2,src/Solver/Nonlocal/Newton.H,NUM-001
src/Solver/Nonlocal/Newton.H:177-188#3,src/Solver/Nonlocal/Newton.H,NUM-003
src/Solver/Nonlocal/Newton.H:200-264,src/Solver/Nonlocal/Newton.H,NUM-001
src/Solver/Nonlocal/Newton.H:334-359,src/Solver/Nonlocal/Newton.H,NUM-004
