pattern_id,cluster_parent_count,sample_id,hunk_id,file
GPU-001,123,GPU-001-R01,src/BC/BC.H:135-145,src/BC/BC.H
GPU-001,123,GPU-001-R02,src/Numeric/Function.H:30-44,src/Numeric/Function.H
GPU-001,123,GPU-001-R03,src/Numeric/Stencil.H:111-121,src/Numeric/Stencil.H
GPU-001,123,GPU-001-R04,src/Numeric/Stencil.H:1314-1327,src/Numeric/Stencil.H
GPU-001,123,GPU-001-R05,src/Numeric/Stencil.H:398-404,src/Numeric/Stencil.H
GPU-001,123,GPU-001-R06,src/Numeric/Stencil.H:414-420,src/Numeric/Stencil.H
GPU-001,123,GPU-001-R07,src/Numeric/Stencil.H:431-437,src/Numeric/Stencil.H
GPU-001,123,GPU-001-R08,src/Numeric/Stencil.H:585-596,src/Numeric/Stencil.H
GPU-001,123,GPU-001-R09,src/Set/Base.H:42-63,src/Set/Base.H
GPU-001,123,GPU-001-R10,src/Set/Matrix4_Major.H:251-256,src/Set/Matrix4_Major.H
GPU-001,123,GPU-001-R11,src/Set/Matrix4_MajorMinor.H:161-166,src/Set/Matrix4_MajorMinor.H
GPU-001,123,GPU-001-R12,src/Set/Matrix4_MajorMinor.H:48-54,src/Set/Matrix4_MajorMinor.H
GPU-001,123,GPU-001-R13,src/Util/PNG.H:155-161#1,src/Util/PNG.H
GPU-002,17,GPU-002-R01,src/Model/Gas/Transport/Mixture_Averaged.H:99-111,src/Model/Gas/Transport/Mixture_Averaged.H
GPU-002,17,GPU-002-R02,src/Model/Gas/Transport/Transport.H:5-32,src/Model/Gas/Transport/Transport.H
GPU-007,21,GPU-007-R01,src/Integrator/Base/Mechanics.H:348-356,src/Integrator/Base/Mechanics.H
GPU-007,21,GPU-007-R02,src/Integrator/Base/Mechanics.H:360-369,src/Integrator/Base/Mechanics.H
GPU-007,21,GPU-007-R03,src/Integrator/Flame.cpp:595-693,src/Integrator/Flame.cpp
GPU-010,23,GPU-010-R01,src/BC/Operator/Elastic/Expression.H:6-11,src/BC/Operator/Elastic/Expression.H
GPU-010,23,GPU-010-R02,src/IC/PNG.H:69-75,src/IC/PNG.H
GPU-010,23,GPU-010-R03,src/IC/Trig.H:55-60,src/IC/Trig.H
GPU-012,22,GPU-012-R01,src/Util/Util.H:146-151,src/Util/Util.H
GPU-012,22,GPU-012-R02,src/Util/Util.H:51-62,src/Util/Util.H
GPU-012,22,GPU-012-R03,src/Util/Util.cpp:265-271,src/Util/Util.cpp
GPU-016,10,GPU-016-R01,src/Integrator/HeatConduction.H:180-223,src/Integrator/HeatConduction.H
GPU-021,4,GPU-021-R01,src/Numeric/Stencil.H:1421-1432,src/Numeric/Stencil.H
NUM-001,9,NUM-001-R01,src/Numeric/Stencil.H:785-821,src/Numeric/Stencil.H
