pattern_id,cluster_parent_count,sample_id,hunk_id,file
GPU-001,121,GPU-001-01,src/Model/Solid/ExtClassOperators.H:1-3,src/Model/Solid/ExtClassOperators.H
GPU-001,121,GPU-001-02,src/Model/Solid/InClassOperators.H:1-4,src/Model/Solid/InClassOperators.H
GPU-001,121,GPU-001-03,src/Numeric/Stencil.H:1267-1283,src/Numeric/Stencil.H
GPU-001,121,GPU-001-04,src/Numeric/Stencil.H:1342-1348,src/Numeric/Stencil.H
GPU-001,121,GPU-001-05,src/Numeric/Stencil.H:1385-1395,src/Numeric/Stencil.H
GPU-001,121,GPU-001-06,src/Numeric/Stencil.H:213-223,src/Numeric/Stencil.H
GPU-001,121,GPU-001-07,src/Numeric/Stencil.H:229-239,src/Numeric/Stencil.H
GPU-001,121,GPU-001-08,src/Numeric/Stencil.H:319-325,src/Numeric/Stencil.H
GPU-001,121,GPU-001-09,src/Numeric/Stencil.H:466-472,src/Numeric/Stencil.H
GPU-001,121,GPU-001-10,src/Numeric/Stencil.H:83-107,src/Numeric/Stencil.H
GPU-001,121,GPU-001-11,src/Set/Matrix3.H:25-31,src/Set/Matrix3.H
GPU-001,121,GPU-001-12,src/Set/Matrix4_Major.H:132-137,src/Set/Matrix4_Major.H
GPU-001,121,GPU-001-13,src/Set/Matrix4_MajorMinor.H:509-520,src/Set/Matrix4_MajorMinor.H
GPU-002,18,GPU-002-01,src/Model/Gas/Gas.H:112-118,src/Model/Gas/Gas.H
GPU-002,18,GPU-002-02,src/Model/Gas/Gas.H:37-56,src/Model/Gas/Gas.H
GPU-003,5,GPU-003-01,src/IO/ParmParse.H:1238-1245,src/IO/ParmParse.H
GPU-004,9,GPU-004-01,src/BC/Operator/Elastic/Constant.H:183-192,src/BC/Operator/Elastic/Constant.H
GPU-005,9,GPU-005-01,src/Integrator/Integrator.H:267-273,src/Integrator/Integrator.H
GPU-006,15,GPU-006-01,src/BC/Constant.cpp:65-173,src/BC/Constant.cpp
GPU-006,15,GPU-006-02,src/IC/Constant.H:56-64,src/IC/Constant.H
GPU-007,21,GPU-007-01,src/Operator/Elastic.cpp:148-154,src/Operator/Elastic.cpp
GPU-007,21,GPU-007-02,src/Operator/Elastic.cpp:449-460,src/Operator/Elastic.cpp
GPU-007,21,GPU-007-03,src/Solver/Nonlocal/Newton.H:552-560,src/Solver/Nonlocal/Newton.H
GPU-008,9,GPU-008-01,src/BC/Operator/Elastic/Constant.H:202-214,src/BC/Operator/Elastic/Constant.H
GPU-009,3,GPU-009-01,src/Numeric/Interpolator/NodeBilinear.H:39-56,src/Numeric/Interpolator/NodeBilinear.H
GPU-010,25,GPU-010-01,src/IC/Laminate.H:5-10,src/IC/Laminate.H
GPU-010,25,GPU-010-02,src/IC/PNG.H:4-9,src/IC/PNG.H
GPU-010,25,GPU-010-03,src/Util/Util.H:24-29,src/Util/Util.H
GPU-011,4,GPU-011-01,src/BC/Operator/Elastic/Constant.H:18-27,src/BC/Operator/Elastic/Constant.H
GPU-012,23,GPU-012-01,src/Integrator/Flame.cpp:539-554,src/Integrator/Flame.cpp
GPU-012,23,GPU-012-02,src/Util/Util.H:247-260,src/Util/Util.H
GPU-012,23,GPU-012-03,src/Util/Util.cpp:138-143,src/Util/Util.cpp
GPU-013,3,GPU-013-01,src/Integrator/Base/Mechanics.H:418-449,src/Integrator/Base/Mechanics.H
GPU-015,1,GPU-015-01,src/Operator/Operator.cpp:116-150#1,src/Operator/Operator.cpp
GPU-016,12,GPU-016-01,src/Integrator/PFC.cpp:10-15,src/Integrator/PFC.cpp
GPU-016,12,GPU-016-02,src/Set/Base.H:7-12,src/Set/Base.H
GPU-017,1,GPU-017-01,src/Model/Solid/Finite/NeoHookean.H:36-90#2,src/Model/Solid/Finite/NeoHookean.H
GPU-018,2,GPU-018-01,src/Operator/Elastic.cpp:317-347#2,src/Operator/Elastic.cpp
GPU-019,1,GPU-019-01,src/Operator/Elastic.cpp:173-264#5,src/Operator/Elastic.cpp
GPU-020,2,GPU-020-01,src/Set/Matrix4_Major.H:531-550,src/Set/Matrix4_Major.H
GPU-021,4,GPU-021-01,src/Numeric/Stencil.H:1434-1445,src/Numeric/Stencil.H
GPU-022,6,GPU-022-01,src/Set/Matrix4_MajorMinor.H:420-426,src/Set/Matrix4_MajorMinor.H
GPU-023,3,GPU-023-01,src/Operator/Operator.cpp:69-85,src/Operator/Operator.cpp
GPU-024,7,GPU-024-01,src/Model/Propellant/Propellant.H:49-56,src/Model/Propellant/Propellant.H
GPU-025,7,GPU-025-01,src/GPU/IntegratorPolicy.mk:0-0,src/GPU/IntegratorPolicy.mk
GPU-030,1,GPU-030-01,src/Util/PNG.H:168-174,src/Util/PNG.H
NUM-001,10,NUM-001-01,src/Operator/Elastic.H:122-127,src/Operator/Elastic.H
NUM-002,6,NUM-002-01,src/Operator/Operator.cpp:158-164,src/Operator/Operator.cpp
NUM-003,13,NUM-003-01,src/Operator/Elastic.cpp:45-51,src/Operator/Elastic.cpp
NUM-003,13,NUM-003-02,src/Operator/Elastic.cpp:663-684,src/Operator/Elastic.cpp
NUM-004,1,NUM-004-01,src/Solver/Nonlocal/Newton.H:334-359,src/Solver/Nonlocal/Newton.H
