file,pattern_id,hits
src/BC/Constant.cpp,GPU-006,1
src/BC/Constant.cpp,GPU-012,1
src/BC/Expression.cpp,GPU-006,1
src/BC/Expression.cpp,GPU-012,1
src/IC/BMP.H,GPU-030,1
src/IC/Constant.H,GPU-006,2
src/IC/PerturbedInterface.H,GPU-012,1
src/IO/ParmParse.H,GPU-003,2
src/Integrator/AllenCahn.H,GPU-007,1
src/Integrator/Base/Mechanics.H,GPU-006,1
src/Integrator/Base/Mechanics.H,GPU-007,3
src/Integrator/Base/Mechanics.H,GPU-012,1
src/Integrator/Base/Mechanics.H,GPU-013,1
src/Integrator/CahnHilliard.cpp,GPU-007,3
src/Integrator/CahnHilliard.cpp,GPU-016,2
src/Integrator/Dendrite.H,GPU-007,2
src/Integrator/Flame.cpp,GPU-006,3
src/Integrator/Flame.cpp,GPU-007,4
src/Integrator/Flame.cpp,GPU-013,1
src/Integrator/Fracture.H,GPU-006,1
src/Integrator/Fracture.H,GPU-007,1
src/Integrator/Fracture.H,GPU-012,1
src/Integrator/HeatConduction.H,GPU-007,3
src/Integrator/HeatConduction.H,GPU-016,2
src/Integrator/Hydro.cpp,GPU-007,4
src/Integrator/Hydro.cpp,GPU-012,1
src/Integrator/Integrator.cpp,GPU-023,2
src/Integrator/Mechanics.H,GPU-006,2
src/Integrator/PFC.cpp,GPU-007,1
src/Integrator/PFC.cpp,GPU-016,2
src/Integrator/PhaseFieldMicrostructure.cpp,GPU-012,1
src/Integrator/PhaseFieldMicrostructure.cpp,GPU-013,1
src/Integrator/SutureCrack.H,GPU-007,3
src/Integrator/SutureCrack.H,GPU-012,3
src/Integrator/TopOp.H,GPU-006,1
src/Integrator/TopOp.H,GPU-007,2
src/Integrator/TopOp.H,GPU-013,1
src/Model/Defect/Disconnection.H,GPU-007,2
src/Model/Gas/Gas.H,GPU-002,3
src/Model/Gas/Transport/Mixture_Averaged.H,GPU-002,1
src/Model/Solid/Finite/NeoHookean.H,GPU-017,2
src/Model/Solid/Finite/NeoHookeanPredeformed.H,GPU-012,1
src/Operator/Elastic.cpp,GPU-004,2
src/Operator/Elastic.cpp,GPU-006,4
src/Operator/Elastic.cpp,GPU-012,5
src/Operator/Elastic.cpp,GPU-018,2
src/Operator/Elastic.cpp,GPU-019,1
src/Operator/Elastic.cpp,GPU-023,3
src/Operator/Implicit/Implicit.cpp,GPU-023,3
src/Operator/Operator.cpp,GPU-006,1
src/Operator/Operator.cpp,GPU-015,1
src/Operator/Operator.cpp,GPU-023,8
src/Set/Base.H,GPU-022,1
src/Set/Matrix4_Diagonal.H,GPU-020,2
src/Set/Matrix4_Isotropic.H,GPU-020,1
src/Set/Matrix4_Major.H,GPU-020,1
src/Set/Matrix4_Major.H,GPU-022,4
src/Set/Matrix4_MajorMinor.H,GPU-022,4
src/Solver/Nonlocal/Newton.H,GPU-006,4
src/Test/Numeric/Stencil.H,GPU-007,1
src/Util/PNG.H,GPU-030,1
src/Util/Util.cpp,GPU-015,1
